술 종류,술 이름,술 도수,술 재료,술 소개,술과 같이 먹는 음식,술 생산 지역
리큐르/기타주류,백운 복분자 와인,11%,"쌀, 토종 복분자과즙","백운 복분자 와인은 쌀을 찐 다음 누룩과 물, 높은 당도의 광양 토종 복분자 과즙을 넣어 저온에서 장기간 발효한 전통주이다. 특유의 저온발효와 냉장 저장고에서 휴면발효 공법을 통해 잡냄새 없다. 여기에 여과 시 자체 개발한 항균포를 활용하여 깔끔한 맛이 자랑한다. 주류품평회에서 매년 수상한 기록을 가지고 있을만큼 복분자주의 대표적인 제품이다.",검붉은 색깔을 가지고 있으며 신선한 과실향이 올라온다. 단맛과 신맛의 조화가 잘 갖춰져 있으며 목넘김 또한 매우 가볍고 깔끔하다. 전체적으로 고소한 맛이 입안을 채운다. 탕수육 등 중국 음식과 잘 어울린다.,전라남도 광양시 옥룡면 신재로 946-18
리큐르/기타주류,메로니아,4%,"쌀, 국, 효모, 젖산, 멜론 향, 물엿 등","메로니아는 막걸리에 멜론특유의 달콤함을 담아 멜론 맛 아이스크림이 그대로 녹아 들어 있는 듯한 탁주이다. 일반적인 과일 막걸리는 살균을 통해 유통기한을 늘리지만, 메로니아는 독특하게 살균을 하지 않은 생 탁주로 생 막걸리 특유의 부드러움과 멜론의 향과 맛이 달콤하게 느껴져 평소 술을 좋아하지 않는 사람도 거리낌없이 즐길 수 있는 술이다.",메론향이 첨가되어 기타주류로 분류되어 있으며 과일맛 막걸리에 맞게 매우 달콤하고 산미가 적으며 탄산에 의한 청량미가 강하다. 마치 메론으로 만든 스파클링 와인을 마시는 듯하다. 식사를 다 한 후에 디저트 술로 좋다.,경기도 화성시 정남면 서봉로 835
리큐르/기타주류,르깔롱,16%,"정제수, 주정, 고과당, 죽력, 메론후레바, 레이지라임, 코코넛향, 윌튼스카이아이싱칼라","르깔롱은 추성주로 22대 대한민국 식명인에 지정된 양대수 명인이 출시한 젊은감각의 전통주이다. 담양대나무죽력과 멜론, 코코넛향 등 첨가물들의 어울림으로 다양한 맛과 향이 있는 조화로운 리큐르주이다. 오렌지주스나 에너지음료 등으로 다양한 칵테일을 만들 수 있는 메인주류로써 풍부한 향과 풍미가 있는 술이다. 국내 클럽에서 주로 판매되는 수입주류를 대체할 수 있는 최초의 클럽용 전통주로써 위축된 전통주 시장을 활성화 시킬수 있는 발판을 마련했다.",맑은 에메랄드 빛깔을 가진 술로 멜론 향기가 진하게 올라온다. 도수가 높지만 단맛이 강해 목넘김이 매우 깔끔하고 입 안에 느껴지는 달콤한 코코넛의 느낌이 술을 계속 마시게 만들어 준다. 아주 차게 마시는 것 보다는 온도가 올라가면서 느껴지는 다양한 향을 즐기면서 마시기 좋은 술이다. 특별한 안주보다는 열대과일과 아주 잘 어울린다.,전남 담양군 용면 추령로 29
리큐르/기타주류,동강더덕주,20%,"더덕, 대추구기자, 감초, 원지","&quot;동강더덕주&quot;는 천혜의 지역 강원도에서 채취한 더덕을 원료로 사용하고 몸에 좋은 대추, 오미자, 감초 등 부재료를 넣어 100일간 빚은 강원도 영월 지역특산주이다. 더덕 한뿌리가 통째로 병에 담겨 있고 은은한 갈색빛을 띄고 있어 보기만해도 건강해질듯한 술이다.",연한 담갈색의 빛깔로 더덕의 향이 은은하게 입안에 감돈다. 집에서 담든 더덕주와는 달리 더덕향과 알코올 도수가 과하지 않게 적절하게 매치되어 가볍게 마실 수 있다. 더덕양념구이와 함께 하면 더욱 좋다.,강원도 영월군 주천면 솔치로 633
리큐르/기타주류,녹천 소곡화주 500ml,41%,"찹쌀, 누룩, 백미, 정제수","한산소곡주는 백제 1500년의 오랜 역사와 전통을 고스란히 담아 전해 내려오는 전통주다. 찹쌀과 누룩을 주원료로 들국화, 메주콩, 생강, 홍 고추 등의 조화 속에 100일간 숙성을 하여 빚어지는 전통주 한산소곡주는 감미로운 향과 특유의 감칠맛 때문에 취하면 자리에서 일어설 줄 모른다고 하여 ‘앉은뱅이 술’이란 이름으로도 불린다. 소곡화주는 한산소곡주를 증류한 프리미엄 소곡주이다.",물처럼 맑고 투명하지만 상압증류기를 이용해 불에 그을린듯한 향이 강하게 올라온다. 알코올 도수에 비해 자극적이지는 않지만 술을 입에 넣으면 입술과 혀를 서서히 자극시킨다. 입 안에 탄 듯한 맛이 남는 것이 강한 남자 같은 술 같다. 전골류와 잘 어울린다.,충남 서천군 한산면 한마로 105
리큐르/기타주류,녹천 소곡화주 480ml,41%,"찹쌀, 누룩, 백미 , 정제수","한산소곡주는 백제 1500년의 오랜 역사와 전통을 고스란히 담아 전해 내려오는 전통주다. 찹쌀과 누룩을 주원료로 들국화, 메주콩, 생강, 홍 고추 등의 조화 속에 100일간 숙성을 하여 빚어지는 전통주 한산소곡주는 감미로운 향과 특유의 감칠맛 때문에 취하면 자리에서 일어설 줄 모른다고 하여 ‘앉은뱅이 술’이란 이름으로도 불린다. 소곡화주는 한산소곡주를 증류한 프리미엄 소곡주이다.",물처럼 맑고 투명하지만 상압증류기를 이용해 불에 그을린듯한 향이 강하게 올라온다. 알코올 도수에 비해 자극적이지는 않지만 술을 입에 넣으면 입술과 혀를 서서히 자극시킨다. 입 안에 탄 듯한 맛이 남는 것이 강한 남자 같은 술 같다. 전골류와 잘 어울린다.,충남 서천군 한산면 한마로 105
리큐르/기타주류,녹고의 눈물,16%,섬오가피,"녹고의 눈물은 5년 이상된 제주도의 섬오가피 뿌리만으로 순수 발효한 오가피 발효주이다. 물, 바람, 불이 만들어 낸 생명의 약초 섬오가피는 제주도의 10대 약용작물 가운데 하나이다. 알코올 도수 16도로 마시기에 부담 없는 술로 감미, 산미, 신미, 청량미가 적절한게 조화를 이루고 부드러운 점성과 바디감을 느낄 수 있다. 최근 애주가들에게 큰 주목을 받고 있는 제품이다.",투명한 갈색빛을 가지고 있으며 산뜻하면서도 고급스런 향기가 은은하게 올라온다. 입에 넣으면 처음에는 산미가 입 전체를 채우고 시간이 지나면서 독특한 쓴맛이 자리를 잡는다. 생선 조림과 잘 어울린다.,제주 제주시 한경면 연명로 372
리큐르/기타주류,경기전,5%,"국내산 보리, 맥아, 호프펠렛, 효모, 정제효소제, 정제수","""경기전""은 수줍은 붉은 빛이 매력적인 술로 국내산 보리 특유의 맛과 향이 그대로 배어 있다. 혀에 닿는 순간 고소한 비스킷의 맛, 그리고 입안에 감기는 허브의 쓴맛과 소나무에서 느껴지는 흙 내음이 조화를 이루고 있다. 제조사 전주술로시티는 3013년 설립 때부터 국산보리를 원료로 사용하여 제품을 생산하였으며 2018년부터는 전북의 무농약 보리를 사용하여 보다 자연친화적이고 맛 있는 술을 생산하고 있다.","홉의 향이 아로마틱하게 올라온다. IPA를 추구한 맛이란 것을 그대로 알 수 있다. 경쾌함이 있는 천연탄산이 있으며, 후미에서 느껴지는 홉의 잔향이 매력적이다. 맥주에 어울리는 모든 안주와 음식궁합이 잘 맞는다.",전북 전주시 완산구 동문길 99
리큐르/기타주류,"동백꽃, 제주",16%,"동백꽃잎, 정제수, 포도당 효모","화학적 색소없이 오직 동백꽃의 붉은 색으로 색을 낸 동백꽃, 제주는 제주 붉은 누룩으로 발효하여 만들었다. 3대째 내려오는 전통방식으로 주정을 전혀 첨가하지 않고 45일동안 자연발효한다. 은은한 자연탄산의 기포를 가졌으며 마치 인삼주같은 쌉싸름한 맛과 달달한 동백꽃 향을 동시에 느낄 수 있다.",흑돼지 갈칫국,제주 제주시 한경면 고산로2길 22-13
리큐르/기타주류,괴산 세종 찰옥수수 전통주,6%,"정제수, 백미, 국, 옥수수분, 전분당, 조제종국, 효모, 조효소제, 치자색소,젖산, 아스파탐, 아세설팜칼륨,허브후레바E, 누룽지향, 구연산","괴산 지역 특산물인 &quot;대학찰옥수수&quot;를 사용해 옥수수의 식이성 섬유질이 다량으로 함유되었다. 쌀, 찰옥수수 밀가루를 배합해 원료를 발효시킨 막걸리형 전통주로, 찰옥수수의 구수하고 부드러운 맛이 은은하게난다. 걸쭉하고 진득한 질감을 가졌지만 부드러운 목 넘김을 가졌다.","연포탕, 해물찜",충북 청주시 청원구 사천로 18길 5-2
리큐르/기타주류,제주몬순커피주,11%,"정제수, 설탕, 커피생두, 효모",제주 화산토에서 직접기른 그린빈과 제주 화산수로 담궜다. 한달 발효 후 화산송이와 함께 한달 간의 숙성과정을 거친다. 볶지 않은 생두 그대로를 사용하여 날카로운 산미강하게 느껴지며 은은한 커피향이 난다. 더치 커피원액과 얼음을 섞어 칵테일로 즐기기 좋다.,"흰살 생선, 초밥",제주 서귀포시 안덕면 사계리 3136
리큐르/기타주류,금과 명주,40%,"사과증류주, 고과당, 사과향, 카라멜",경북 의성 사과와 옹기 항아리를 사용해 사과 브랜디의 깊은 맛과 향을 냈다. 사과의 단맛 속에 숨어있던 쌉싸름한 맛과 상큼함을 느낄 수 있으며 중후한 향이 난다.,"다크초콜릿, 아이스크림",경북 의성군 단촌면 일직점곡로 755
리큐르/기타주류,꿀샘 16,16%,"정제수, 주정, 설탕, 천연꿀, 생강, 구연산","천연 벌꿀을 넣어 만든 꿀 리큐르로, 적당한 단맛과 향긋한 벌꿀향이 난다. 생강을 침출해 넣어 맛의 단조로움을 없앴다. 도수에 비해 목넘김이 부드럽고 은은하다.","과일샐러드, 가래떡",경기도 용인시 처인구 양지면 죽양대로 2298-1
리큐르/기타주류,커피와인 톡시(중복-증류주),11%,커피생두 발효액,그린빈(커피생두)을 발효시켜 만든 커피와인이다. 제주 화산송이로 숙성하여 목넘김이 부드럽고 커피의 향과 와인맛을 동시에 느낄 수 있다.,"크래커, 치즈, 다크초콜렛",제주 서귀포시 안덕면 사계리 3136
리큐르/기타주류,아이엠더문,17%,"쌀증류식소주원액(유기농쌀100%), 주정, 정제수, 과실농축액(국내산-사과,포도,딸기,오렌지,망고) 등","리큐르 개발을 목표에 두고 새로운 경험을 할 수 있도록 섬세하게 기획하여, 과일향과 맛이 최대한 인공적으로 느껴지지 않도록 재료를 아끼지 않았으며, 유기농쌀 100%를 사용한 증류식소주원액을 바탕으로 만들어 낸 정성이 담긴 술이다. 17%의 도수를 가지고 있지만, 달콤하고 향기로운 과일향과 플레이버를 특징으로 가지고 있어, 술을 잘 마시지 못하는 분들도 충분히 가볍게 즐길 수 있는 쥬시한 느낌이 있어 깔끔하고 상쾌한 맛을 가지고 있다.",홈파티 술인 만큼 얼음과 같이 언더락으로 시원하게 즐겨도 좋다. 또 탄산수에 자몽과 같은 쌉쌀한 맛을 풍기는 과일즙을 넣고 칵테일로 즐겨도 좋겠다,충북 청주시 청원구 사천로 18길 5-2
리큐르/기타주류,홍삼명주,14%,홍삼(국내산),"홍삼명주는 대한민국 대표브랜드 홍삼을 발효시킨 건강한 뿌리 발효주입니다. 충북 괴산 지역특산주 홍삼명주는 4~5년동안 재배한 인삼을 3년 이상 발효, 숙성된 원액으로 긴 기다림으로 탄생됩니다. 홍삼명주는 맛을 내기 위해 첨가물을 넣지 않고 토양의 맛을 그대로 표현합니다. 또한 유통기한이 없고 산화되지 않으며 홍삼을 별도로 섭취하지 않아도 됩니다.홍삼의 토질을 그대로 느껴보시길 바랍니다.","참치, 삼겹살, 목살, 양꼬치, 장어, 백숙 등",충북 괴산군 청천면 도경로 640
리큐르/기타주류,티나(TINA),16%,딸기(국내산),당도와 고품질딸기로 유명한 담양딸기를 주원료로 주류에 한해 첨가할 수 있도록 특허가 난 대나무죽력이 첨가된 리큐르주로서 딸기 특유의 달달한 맛과 상큼한 향을 느낄 수 있습니다. 원주자체음용에도 크게 거부감이 없으면서도 칵테일 기본 베이스로도 활용할 수 있습니다.,,전남 담양군 용면 추령로 29
리큐르/기타주류,허니문,8%,벌꿀(국내산),"인류 최초의 술, 미드는 당분 함량이 높고 알코올 발효가 가능한 벌꿀을 주재료로 만들어 먹던 발효주다. 신혼부부들은 다산과 행복을 기원하며 한 달 동안 달콤한 허니와인을 마셨는데, 오늘날 허니문 ( Honeymoon )이 여기에서 유래됐다.
허니문와인은 무려 8,000년의 역사와 전통을 자랑하는 스테디셀러이며, 우리나라 소비자들에게 딱 맞는 주종이다.
달콤한 맛과 향을 단 한 번이라도 경험한 이들이라면 틀림없이 푹 빠져들어 다시 찾게 되는 특별한 술이다","꿀 고유의 효능으로 한식, 양식, 일식, 중식을 비롯한 분식, 패스트푸드, 쿠키 등 각종 다양한 음식에 감칠맛을 더해준다.",경기도 양평군 강하면 왕창부로길 110
리큐르/기타주류,허니비,8%,벌꿀(국내산),"2009년경,벌꿀 풍년이 들어 양봉 농가 창고마다 꿀이 쌓여 있었다. 재고량이 어림잡아도 10,000드럼 이상.
이 꿀을 다 어떻게 팔아야 할까? 고민하던 중에 문득 술을 떠올리게 된 양봉인 양경열 회장은, 유럽에서 식전주로 널리 애용되는 미드처럼 우리 벌꿀로 술을 만들어 판매하면 소비 확대에 도움이 되지 않을까 하는 생각에 그날부터 술을 담그기 시작했다.
그렇게 연구한 허니와인(허니비와인)은 국내 최초 발효주 ( MEAD )를 상용화한 전통주 방식의 와인이 되었고, 허니문 와인의 모태가 되었다.","꿀 고유의 효능으로 한식, 양식, 일식, 중식을 비롯한 분식, 패스트푸드, 쿠키 등 각종 다양한 음식에 감칠맛을 더해준다.",경기도 양평군 강하면 왕창부로길 110
리큐르/기타주류,공주알밤 왕밤주,6%,"공주밤(국내산), 백미(국내산), 아스파탐",공주알밤 왕밤주는 공주 알밤을 볶아서 빚은 후 저온에서 발효했다. 순하고 부드러운 맛이 일품이며 구수한 알밤맛과 부드러운 목 넘김이 특징이다. 곡물의 달달함과 고소함이 잘 어우러지며 고소한 군밤향이 오래 남는다.,"잘 익은 밤에서 느껴지는 특유의 고소한 밤향이 특징이다. 구운 밤하고도 잘 어울리며, 지역의 유명 음식인 공주국밥하고도 좋은 매칭이다.",충남 공주시 사곡면 마곡사로 49
리큐르/기타주류,한비 유자술,35%,"쌀(국내산), 유자(국내산)",제천한약영농조합법인의 한비 유자술은 국내산 쌀과 오가피를 주재료로 빚는다. 전통기법으로 쌀을 발효시킨 후 증류한 곡주를 유자와 함께 숙성했다. 한비 유자술은 국내산 약재에서 우러나온 깊은 맛과 유자의 향긋함이 잘 어우러져 그윽한 맛이 특징이며 부담없이 가볍게 즐기기 좋다.,,충북 제천시 봉양읍 원박리 276
리큐르/기타주류,술샘19,19%,"주정, 증류식소주, 정백당, 생강, 강황(국내산)",술샘19는 투명하면서 아름다운 레몬 빛깔로 눈을 즐겁게 하며 한 모금 마셨을 때 입안에 가득 퍼지는 강황의 향과 맛이 일품이다. 국내산 강황을 증류주에 침출하여 향이 살아있게 만들었다. 은은하게 퍼지는 특유의 향과 맛이 특징이다.,,경기도 용인시 처인구 양지면 죽양대로 2298-1
리큐르/기타주류,술샘16,16%,"쌀(국내산), 오미자(국내산), 주정, 정백당","술샘16은 국내산 오미자 100%를 증류주에 침출하여 향이 살아있게 만든 술이다. 오미자 특유의 5가지(단맛, 신맛, 쓴맛, 매운맛, 짠맛) 신비한 맛을 그대로 느낄 수 있다.","파티음식, 샐러드, 육류 및 치즈, 해산물과 잘 어울린다.",경기도 용인시 처인구 양지면 죽양대로 2298-1
리큐르/기타주류,호담 300ml,20%,"산양산삼, 정제수, 주정","""호담 300ml""은 경기도 청정지역의 5년근 산양산삼으로 제조하여 1뿌리가 통째로 들어있는 프리미엄 리큐르이다. ""대농바이오 우리산삼""의 50여 조합원이 200만평 면적에서 직접 재배한 산양산삼과 국내산쌀을 사용하여 빚은 술이다.",닭백숙,경기도 광주시 퇴촌면 천진암로 684
리큐르/기타주류,진쾌남,25%,"국내산 쌀, 밤, 누룩, 구기자, 오미자, 산수유, 오가피, 동충하초, 정제수","""진쾌남""은 공주산 밤에 국내산 백미로 빚은 국내에서 최초로 생산된 밤 증류주이다. 오미자, 산수유, 오가피, 구기자, 동충하초, 토사자, 벌꿀 등 몸에 이로운 약재가 들어간 제품으로 진한 맛과 향이 일품이다. 프리미엄 증류주 답게 알코올 도수는 높으나 부드러운 맛을 간직하고 있다. ""진쾌남""은 알코올 도수 40% 제품(공주밤 31% 함유)과 25% 제품(공주밤 23% 함유)이 출시되고 있다. 증류주에 다양한 약재가 들어가 있는 제품으로 구기자, 오미자, 산수유, 오가피 등의 복잡한 약재의 향이 매우 풍만하게 올라온다. 입 안에 단맛과 쓴맛이 교차하고 25%의 고도주이나 목 넘김이 깔끔하다.",삼계탕 등 보양음식,충남 공주시 사곡면 마곡사로 49
리큐르/기타주류,한비 무병장수술,35%,"국내산쌀, 흑삼, 인삼, 오가피, 오미자, 구기자, 복분자, 차전자, 토사자, 산수유","""한비 무병장수술""은 국내산 쌀을 발효하여 흑삼, 인삼, 오가피, 오미자, 구기자, 복분자, 차전자, 토사자, 산수유를 첨가하여 숙성시킨 전통주이다. 몸에 좋은 한약재가 가득 담긴 ""한비 무병장수술""은 건강하게 마실 수 있는 기능성 술이다. 인공첨가물을 넣지 않고 전통기법으로 제조하여 알코올 도수 35%의 고도주이나 부드럽게 마실 수 있다.","증류주에 복분자, 오미자 등 다양한 약재가 들어가 짙은 호박색을 가지고 있으며 복잡한 약재의 향이 매우 풍만하게 올라온다. 도수에 비해 매우 부드러우며 혀에 남는 약재의 쓴맛이 마치 약을 마시는 듯하다. 추어탕과 잘 어울린다.",충북 제천시 봉양읍 원박리 276
리큐르/기타주류,한비 동충하초술,35%,"국내산 쌀, 누룩, 가시오가피 뿌리, 동충하초, 정제수","""한비 동충하초술""은 국내산 쌀을 발효하여 증류한 후 10년생 친환경 가시오가피 뿌리와 동충하초와 감초를 함께 숙성시킨 전통주이다. 재료로 쓰이는 오가피는 국내에서 유일하게 농산물우수관리인증(GAP)을 받은 것으로 중국산 오가피에 비해 약효성분이 6배나 더 함유하고 있으며, 동충하초는 고가의 약용버섯으로 몸에 좋은 다양성 성분을 함유하고 있다. 인공첨가물을 넣지 않고 전통기법으로 제조하여 알코올 도수 35%의 고도주이나 부드럽게 마실 수 있다.","증류주와 동충하초가 잘 어우러진 리큐르로 연한 호박색을 가지고 있으며, 향은 산뜻하면서도 오크통에 숙성된 훈연 된 나무 향이 매력적이다. 입 안에 퍼지는 산뜻함과 단맛, 부드러움이 잘 갖춰진 술이다. 삼계탕과 잘 어울린다.",충북 제천시 봉양읍 원박리 276
리큐르/기타주류,애피소드호프,3.5%,"사과과즙, 보리, 쌀, 홉",&quot;애피소드 호프&quot;는 한국애플리즈에서 2030대 젊은 층을 위해 출시한 LTD 제품이다. 애플사이다에 맥주의 풍미를 느낄 수 있는 홉을 가미한 제품으로 색다른 맛을 느낄 수 있는 제품으로 젊은층에게 호응을 얻고 있다. 달콤새콤한 사과향과 은근한 맥주향이 어우러진 제품으로 이국적인 맛을 선사한다.,"사과가 주는 청량함과 홉이 주는 향긋함이 그대로 살아있는 경쾌함이 살아 있는 애플 사이다이다. 홉이 주는 아로마와 탄산이 주는 청량감으로 치킨 및 닭강정, 튀김류와도 상당히 잘 맞는다.",경북 의성군 단촌면 일직점곡로 755
리큐르/기타주류,과하주23,23%,쌀 100%,"400여 년 전 임진왜란(1592년)때 명나라의 원병장 이여송이 김천을 지날 때 그 샘물 맛을 보고 중국 금릉의 과하천의 물맛과 같다고 칭송하여 이때부터 이 샘을 과하천이라 부르게 되었고, 그 샘물로 빚은 술을 과하주라 하였다. 이후 과하주가 한양까지 알려져 임금께 진상하였으며 김천을 대표하는 전통명주로 전례되어 일본에까지 널리 알려졌다고 한다. 광복 후에는 지역특산물로 가내양조 규모로 명맥을 유지하다 6.25 전쟁 후 자취를 감추었다. 그러다 1984년 당시 김천문화원장 송재성이 과하주의 복원에 성공하여 지금에 이르렀다. 김천 과하주는 경북 김천의 맑은 샘물과 토종 멥쌀 그리고 엄선한 곡자원료를 사용하여 전통비법으로 저온 장기발효를 통해 숙성된 술이다. 투명한 황갈색에 고유한 감미와 산미가 있다. 한 여름에도 술맛의 변화가 없고 차게해서 마시면 더욱 좋아 오래전 궁중과 사대부집 등 상류층이 즐기던 고급술이다.",매운탕,경북 김천시 대항면 향천리 79101
리큐르/기타주류,매아랑,10.7%,국내산 매실,"매아랑은 경남 하동군의 지리산 자락, 해발 400m청정지역에서 황매실을 발효시켜 만들었다. 당분 및 매실향이 최고조인 황매실로 방부제를 첨가하지 않고 빚어 뒷맛이 깔끔하고 부드러운 스위트타입의 매실와인이다. 황금빛의 영롱한 색은 어떠한 분위기에서도 잘 어울리며 피로회복, 소화개선, 변비개선, 피부미용 등에 좋은 매실의 효능도 느낄 수 있다.","오징어, 조갯살 등을 넣은 해물파전과 함께 마시면 매실와인의 산뜻한 맛이 돋보인다.",경남 하동군 옥종면 궁항길 286-105
