술 종류,술 이름,술 도수,술 재료,술 소개,술과 같이 먹는 음식,술 생산 지역
과실주,시나브로 캠벨 스위트,12%,포도(캠벨얼리),"시나브로 레드 스위트와인은 한국인이 식용으로 가장 선호하는 포도 품종인 캠벨얼리를 사용하여 만든 한국와인이다. 갬벨얼리로 향조하여 특유하고 풍부한 과일 향과 부드러움을 느낄 수 있는 스위트하다. 레드 와인보다 로제 와인으로 보일 만큼 청아하고 투명한 색을 가지고 있고 캠벨 특유의 기분 좋은 단맛이 맛을 이끌며, 후미에서도 단맛이 남지 않아 청량감도 느껴진다.","누가 즐겨도 편안하고 무난하게 즐길 수 있는 맛이며, 달콤한 맛이 특별한 만큼 좋은 식사를 기분 좋게 마무리하는 역할로 식후주로 추천한다.",충청북도 영동군 심천면 약목2길 23
과실주,시나브로 드 글로리아,12%,포도(캠벨얼리),시나브로 드 글로리아와인은 한국인이 식용으로 가장 선호하는 포도 품종인 캠벨얼리를 사용하여 만든 한국와인이다. 캠벨얼리로 향조하여 특유하고 풍부한 과일향과 부드러움을 느낄 수 있다. 브랜드명 시나브로는 나도 모르는 사이 조금씩이라는 순우리말로 소비자가 시나브로 반하게 되는 매력적인 와인을 만들자는 와이너리의 소망을 담고 있다. 소믈리에 자격증을 취득한 온 가족이 함께 와이너리를 경영하고 있다. 맑고 청아한 포도색을 가졌으며 단맛보다는 산미에 중점을 두어 향에서 묘한 뿌리 냄새가 나는 것도 특징이다.,"물같이 부드러운 목 넘김을 가지고 있으며, 가벼운 탄닌감도 있어서 불고기 및 육전 등, 가벼운 고기류하고는 잘 어울릴 수 있다.",충청북도 영동군 심천면 약목2길 23
과실주,선운산 복분자주 프리미엄,19%,"복분자(고창산), 과당, 구연산, 아스파탐, 무수아황산",선운산 복분자 프리미엄은 냉동된 복분자과실을 해동하여 발효하는 것이 아닌 엄선된 복분자를 바로바로 생과 상태로 고유의 효모를 이용하여 장기간의 발효와 숙성 단계를 거쳐 복분자 특유의 색과 향을 나타낸다. 그리고 맛이 그대로 살아있는 &#039;선운산 복분자주 프리미엄&#039;이 생산된다. 이 제품은 3개월 발효와 3년을 숙성한 프리미엄 복분자주이다.,18개월에 걸친 장기발효숙성으로 일반 복분자주에 비해 부드러움과 자극이 적은 새콤한 맛에 매끈한 단맛이 숙성이 주는 매력을 느낄 수 있다. 담백한 한우 수육을 곁들인다면 더욱 그 차이를 알 수 있을 것이다.,전북 고창군 부안면 복분자로535
과실주,선운산 복분자주,16%,"복분자(고창산), 과당, 구연산, 아스파탐, 무수아황산","비옥한 땅에서 서해바다의 해풍을 맞으며 소금기를 가득 머금은 고창의 복분자는 당도와 품질이 뛰어나기로 소문이 나있다. 이러한 전북 고창의 1등급 선운산 복분자만을 엄선하여 30일 이상 발효하고 1년 이상 숙성 시킨 선운산 복분자주는 기존의 알코올주정에 과실을 담아 희석하는 리큐르주와는 달리 복분자 특유의 색과 향, 맛이 그대로 살아 있다. 100% 복분자 원액을 그대로 발효시켜 풍미가 뛰어나다. 진하지 않은 맑은 느낌의 색이 자연스럽게 느껴지며, 신맛이 주는 새콤함이 청량감을 더한다.","다재다능한 식중주라는 판단. 달콤함과 새콤함의 조합이 좋은 복분자주. 보양식을 생각한다면 장어구이가 잘 어울릴 것이며, 달콤한 맛이 있는 만큼 디저트주로도 좋다. 의외로 치즈와도 좋은 궁합을 보인다.",전북 고창군 부안면 복분자로535
과실주,선운산 복분자와인,13%,"복분자(고창산), 구연산, 과당, 아스파탐, 주정, 정제수","비옥한 땅에서 서해바다의 해풍을 맞으며 소금기를 가득 머금은 고창의 복분자는 당도와 품질이 뛰어나기로 소문이 나있다. 이러한 전북 고창의 1등급 선운산 복분자만을 엄선하여 30일 이상 발효하고 1년 이상 숙성 시킨 &amp;quot;선운산 복분자와인&amp;quot;은 기존의 알코올주정에 과실을 담아 희석하는 리큐르주와는 달리 복분자 특유의 색과 향, 맛이 그대로 살아 있다. 100% 복분자 원액을 그대로 발효시켜 풍미가 뛰어나다.",식감돋는 신맛이 도드라지는 맛. 맑은 복분자의 색에 복분자 특유의 달콤한 향이 올라온다. 조금 맛이 진한 불고기 등의 고기류와 복분자에 가장 잘 어울리는 장어구이와 함께 마시면 좋은 궁합을 보인다.,전북 고창군 부안면 복분자로535
과실주,샹스프랑보아즈,13%,"복분자(고창산), 구연산, 과당, 구연산, 아스파탐, 주정, 정제수","비옥한 땅에서 서해바다의 해풍을 맞으며 소금기를 가득 머금은 고창의 복분자는 당도와 품질이 뛰어나기로 소문이 나있다. 이러한 전북 고창의 1등급 선운산 복분자만을 엄선하여 30일 이상 발효하고 1년 이상 숙성 시킨 &quot;샹스프랑보아즈&quot;는 기존의 알코올주정에 과실을 담아 희석하는 리큐르주와는 달리 복분자 특유의 색과 향, 맛이 그대로 살아 있다. 100% 복분자 원액을 그대로 발효시켜 풍미가 뛰어나다.",가벼운 느낌의 복분자 와인. 진한 복분자주보다는 산뜻한 로제와인과 같은 느낌으로 적보라의 빛을 지니고 있고 상큼한 과일향이 난다. 담백한 모짜렐라치즈 등과 잘 어울린다.,전북 고창군 부안면 복분자로535
과실주,사과와인,12%,사과(국내산)92.07% 백설탕 7.8% 효모 0.02% 메타중아황산칼륨(산화방지제)0.01% 구연산0.1%,금이산농원에서 생산하는 &amp;quot;사과와인&amp;quot;은 발포성 와인은 아니지만 높은 완성도를 보이고 있다. 세종시 조치원에서 재배한 잘 익은 사과를 원료로 하여 저온에서 발효시켰다. 사과와인은 세종시를 대표하는 충남지역 특산물로 지역에서는 꽤 알려진 와인이다. 잘 익은 명품 사과를 수작업으로 선별하여 색과 맛을 그대로 드러낸다. 우아하고 탐스러운 사과 과일로 적당한 신맛과 단맛을 느낄 수 있다.,"잘 익은 사과에서 나오는 풍미 있는 향과 입 안에 가득한 향미, 그리고 적절한 산미가 술을 밸런스를 더해 양념된 고기류와 잘 어울린다.",세종시 전의면 가느실길 127
과실주,블루베리 이야기,12%,"국내산 산머루 50%, 블루베리 50%",청정 무주에서 재배되는 블루베리와 산머루를 50%씩 혼합하여 제조한 제품이다. 블루베리의 진한향과 산머루의 상큼한 맛을 고스란히 담아내기 위해 오랜기간 발효와 숙성을 거치고 신성한 상태에서 병에 담아냈다. 새로운 와인제조기술을 도입하여 블루베리와 산머루의 장점을 최대한 살려 빚은 과실주로 유려하고 세련된 패키지 디자인으로 젊은층에게 호응을 얻고 있는 제품이다.,"투명한 검붉은 빛을 가지고 있으며 신선한 베리향이 올라온다. 입에 넣으면 맛있는 단맛이 술 맛을 이끌어가며 산미는 매우 적으며, 목넘김은 매우 부드럽고 술을 마시고 난 후에는 알코올의 진한 여운이 남는다. 숯불구이와 잘 어울린다.",전라북도 무주군 적상면 서창로 72
과실주,복숭아와인,12%,복숭아(국내산)92.07% 백설탕7.8% 효모0.02% 메타중아황산칼륨(산화방지제)0.01% 구연산0.1%,금이산농원의 복숭아와인은 첫 향이 상큼한 복숭아 향을 풍기며 신맛이 강하지만 단맛과 이내 조화를 이룬다. 목 넘김 시 살짝 쓴맛을 드러내며 이것이 주스가 아니라 와인이다. 마신 후에도 복숭아 향이 은은하게 남아 기분 좋은 느낌이다. 포도와인과 견주면 산도가 있는 이탈리아산 화이트 와인에 가깝다. 병 안에 복숭아를 그대로 넣어 놓은 듯 황금빛 색을 가지고 있으며 잘 익은 복숭아 향이 가득하고 입 안에 넣으면 복숭아 향미가 맛을 더 깊이 있게 해준다.,적절한 단맛과 산미 그리고 마시고 난 뒤에 남는 향기가 사람이 떠난 여운을 남기 듯 오래 남는다. 안주 없이 와인만 있어도 충분한 술이다.,세종시 전의면 가느실길 127
과실주,복분자주 360,16%,"복분자, 주정, 정제수, 설탕 등","내장산은 단풍으로 수려한 장관을 펼쳐놓기로 유명한 지역이지만, 내장산의 복분자역시 뒤쳐지지 않을 만큼 붉기로 유명하다. 이 내장산에서 오직 복분자로 승부하는 과실주를 생산하는 내장산 복분자 영농조합의 한국형 와인 복분자주 360. &quot;복분자&quot; 전문가로써, 전통적인 가양주 비법과 양조기법을 병행하여 한국형 와인의 입지를 다지고 있는 곳이다.",산뜻하게 올라오는 달콤한 과실향이 좋고 단맛은 적으나 적절한 산미와 쓴맛이 있고 아주 약한 타닌이 입안을 자극시킨다. 소고기와 잘 어울린다.,전북 정읍시 북면 장학 1길
과실주,명가원 복분자술,16%,"복분자(37.65%), 주정, 정제수, 구연산, 호박산, 정제식염, 액상과당, 효모, 설탕","지리산 자락에서 자라는 복분자를 발효하여 복분자의 진한 맛과 향, 색을 그대로 살려낸 고 품격 과실주. 역사 깊은 명가원 양조장에서 대한민국 식품명인의 정성으로 발효, 숙성시켜 만드는 술로 복분자의 맛 그대로를 느껴볼 수 있는 과실주다. 장기저온 숙성과 저온여과방식을 도입하여 16%의 도수가 믿기지 않을 만큼 목 넘김이 깔끔하고 부드럽다. 차게 해서 마시면 더욱 맛있게 즐길 수 있다.",여름에 잘 익은 과실향이 올라오고 단맛이 있고 신맛은 적으며 뒤에 남는 쓴맛이 불고기와 잘 어울린다.,경상남도 함양군 지곡면 지곡창촌길 3
과실주,뱅꼬레 화이트와인,11%,양조용포도(경북 영천),뱅꼬레 화이트와인은 은은한 금빛이 도는 색감으로 신선하고 부드러운 아카시아 계열의 꽃 향기가 난다. 입안에 적당히 머무르는 산미가 싱그럽게 조화를 이루고 있는 정통 화이트와인이다.,"다양한 소스로 만든 음식, 유럽식 요리, 생선요리, 과일 샐러드 등과의 매칭을 추천한다.",경상북도 영천시 금호읍 원기리 414-2
과실주,헤베,9%,사과와인(사과과즙 100%),"헤베는 국내산(경북 의성) 사과를 원재료로 어떠한 첨가물 없이 사과즙100%에 소량의 효모만을 넣어 만들어진 9%의 프리미엄 사과발효주이다. 잘 흔들어 준 뒤 침전물(사과섬유질)을 섞어 마시면 깊고 풍부한 사과의 향과 단맛을, 디켄터를 이용해 공기 접촉을 통하면 사과의 은은한 향과 깔끔하고 드라이한 피니시를 즐길 수 있다.","기름기가 없는 가벼운 흰 살 생선회나 청귤 샐러드, 요거트 등과 궁합이 좋다.",경북 의성군 단촌면 일직점곡로 755
과실주,미소 아이스,12%,"포도, 산화방지제, 효모","기원전 6세기경부터 시작한 프랑스 와인을 따라 해 어설피 흉내만 내는 와인을 만들기보다, 한국 와인의 특성을 살려 나만의 와인을 만들어야 누구에게나 자신 있게 내놓을 수 있을 것 같다. 도란원 와이너리, 유럽의 오래된 역사를 따라간 것이 아니라 한국 고유의 와인을 만들어 내고 있는 곳이다. 영동의 포도로 만들어 서양의 오크통 대신 국내산 대나무 통으로 숙성시켜 한국특유의 맛이 살아있는 와인이다. 고운 빛깔뿐만 아니라, 달콤한 맛과 향은 한국형 와인의 대표라고 불리기에 손색이 없다.",검붉은 색에 포도껍질향이 강하게 올라온다. 산미가 없고 단맛이 강하며 묵직한 바디감을 가지고 있다. 목넘김도 매우 부드럽다.,충청북도 영동군 매곡면 옥전리 825-1
과실주,베베마루 캠밸로제,12%,포도(캠벨얼리),"베베마루 캠벨로제는 한국와인의 메카 충북 영동군에 위치한 와이너리 월류원에서 생산하는 와인이다. 직접 경작하는 포토밭에서 수확한 캠벨얼리 품종을 이용하여 시그니처 발효 및 숙성기술로 만들어진 와인이다. 진한 붉은색을 가진 술이며 산소와의 접촉을 많이 해서 마시는 것이 좋다. 딸기, 장미, 체리 등 풍부한 과실향이 잘 어우러져 있다. 와인의 평가 기준인 당도, 탄닌, 바디감 등의 균형감이 우수하다는 평가를 받고 있다.",단맛이 입 전체를 채우고 뒤에 산미가 올라와 입 안을 깔끔하게 만들어준다. 목넘김은 매우 부드럽고 다 마신 후에도 잡맛이 없다. 맛있게 마실 수 있는 술이다. 케이크 등 디저트 음식과 함께하면 좋다.,충북 영동군 황간면 남성동3길 4-14
과실주,베베마루 캠벨로제 스위트,10%,포도(캠벨얼리),"""베베마루 캠벨로제 스위트""는 한국와인의 메카 충북 영동군에 위치한 와이너리 월류원에서 생산하는 와인이다. 직접 경작하는 포토밭에서 수확한 캠벨얼리 품종을 이용하여 시그니처 발효 및 숙성기술로 만들어진 와인으로 딸기, 장미, 체리 등 풍부한 과실향이 잘 어우러져 있다. 와인의 평가 기준인 당도, 탄닌, 바디감 등의 균형감이 우수하다는 평가를 받고 있다.",진한 붉은빛을 가지고 있으며 같은 회사 ‘로제’보다 단맛이 적고 단맛과 신맛의 조화가 잘 갖춰져 있다. 적절한 산미가 입 안에 침이 고이게 하고 뒷맛이 매우 깔끔하다. 와인에 재워 놓았던 붉은 고기와 함께하면 맛있게 즐길 수 있다.,충북 영동군 황간면 남성동3길 4-14
과실주,마셔블랑,12%,"감귤과즙, 백설탕, 액상효모, 무수아황산","마셔블랑은 제주산 한라봉을 착즙하여 만든 제주 특산 화이트와인이다. 향긋한 한라봉의 향과 달콤한 맛, 그리고 드라이한 끝 맛이 특징이다. 원료와 효모는 제조사에서 생산하는 혼디주와 동일하나 한라봉을 착즙하여 첨가하여 싱그러움을 더한 제품이다. 저온 장기 발효와 숙성공법으로 만들어져 달콤하고 부드러운 맛과 한라봉 특유의 청량한 느낌의 향이 풍부하다.","황금빛의 은은한 색깔이 매력적인 와인. 감귤의 향긋한 향이 그대로 살아있는 와인. 목 넘김에서 느껴지는 상쾌한 향이 입안을 기분 좋게 만든다. 후미는 길지 않은 편이나, 입안에서 맴도는 감귤의 여운으로 은근히 제주도의 푸른 바다가 떠오른다. 맛과 향을 방해하지 않는 가벼운 샐러드와 즐기면 이 술의 매력을 더욱 잘 느낄 것이다.",제주특별자치도 서귀포시 남원읍 신례천로46
과실주,레돔 내추럴 스파클링 로제와인,7.5%,포도,"&quot;레돔 내추럴 스파클링 로제와인&quot;은 프랑스 농부가 한국 포도로 만든 와인이다. 내추럴 로제, 말 그대로 가벼운 분홍빛 와인이다. 여기에 천연 발효된 버블이 들어간 것이 스파클링한 맛을 전해준다. 레드와인의 묵직함과는 달리 알코올 도수가 7.5%로 비교적 낮아 신선하고 심플한 맛이 나서 가볍게 마실 수 있는 제품이다. 프랑스 농가의 전통발효기법으로 만들고 여타의 식품 첨가물을 넣지 않은 자연주의 와인이다.","가볍고 경쾌한 느낌이 신선하다는 이미지를 그대로 느끼게 해 준다. 여운은 길지 않지만, 잔잔한 과실향이 입안을 맴돈다. 식전주로도 좋지만, 단맛이 과하지 않아 식중주로도 충분히 쓰일 수 있다.",충북 충주시 엄정면 도자기길 32
과실주,도로시 머루주,12%,"국내산 산머루원액 78.5%, 주정",도로시 머루주는 100% 국내산 산머루로 만들어 전통옹기에서 3년 이상을 숙성한 프리미엄 머루주이다. 돌산을 쪼개에 직접 가꾼 서늘한 지하 속성 터널에서 전통옹기에서 숙성하는데 전통옹기는 용기 자체가 숨을 쉬어 오크통에서 숙성한 와인에 비해 맛과 향이 색다르다. 일교차가 크고 토질이 비옥한 경기도 파주에서 재배한 머루는 당도가 높고 신맛과 단맛이 조화롭다.,"머루 특유의 검붉은 색을 가지고 있다. 향에서 느껴지는 달콤한 향이 이 술이 가진 스위트함을 느끼게 해 준다. 첫 느낌은 단맛으로 시작되지만 마지막은 식욕을 불러오는 산미로 잘 마무리된다. 파주의 술인 만큼 임진강에서 잡히는 메기, 참게 요리에 삼계탕, 오리백숙 등의 보양식과도 잘 어울린다.",경기도 파주시 윗배우니길 441-25
과실주,대관령 복분자주,16%,국내산 복분자,"송화향이 절정인 6~7월 백두대간 평창에서 수확한 복분자로 빚은 전통 과실주이다. 평창지역 복분자는 일교차가 큰 기후 특성으로 색상과 향이 진하고 깊은 맛을 지니고 있으며, 전통기법으로 발효. 숙성시킨 “대관령복분자주”에서 온몸에 스며드는 백두대간의 숨결을 느낄 수 있다.",진한 검붉은 색깔을 가지고 있으며 신선한 과실향이 올라온다. 신맛과 단맛의 조화가 잘 갖춰져 있으며 첫 맛은 진하고 시간이 지날수록 가벼워진다. 술을 마시고 난 후에는 알코올에 의해 자극적인 맛이 입 안에 남아 안주를 당기게 한다. 보쌈과 잘 어울린다.,강원도 평창군 평창읍 농공단지길 24-14
과실주,다래와인 7004S,8%,참다래,"다래와인은 20℃를 넘지 않는 저온발효를 통해서 숙취의 주범인 메탄올과 아세트 알데이드를 줄이고 최고의 와인을 빚고 있다. 참다래에 풍부한 유기산 특유의 상큼함이 고스란히 와인에 녹아 멋진 밸런스를 갖추고 있다. 또한 참다래 특유의 과일향이 어우러진 아로마와 저온발효와 저온숙성을 통해 생성되는 휘발성 에스테르가 훌륭한 부케를 형성하여 황금빛 와인에 풍미를 더하고 있다. &quot;다래와인 7004S&quot;는 참다래의 달콤함과 감미로운 향, 산뜻한 풍미를 지니고 있고 알코올 도수 8%로 부담없이 즐길 수 있는 제품이다.",맑은 황금색을 가지고 있으며 달콤하고 묵직한 향을 느낄 수 있다. 시음하기 전에 산소와의 접촉을 많이 하고 시음하는 것이 좋다. 단맛과 신맛이 잘 조화되어 있으며 산미로 인해 술맛이 매우 깔끔하게 느껴진다. 음식과 함께 편하게 먹을 수 있는 테이블 와인으로 적합하다.,경상남도 사천시 미룡길 31-20
과실주,다래와인 7004D,12%,참다래,다래와인은 20℃를 넘지 않는 저온발효를 통해서 숙취의 주범인 메탄올과 아세트 알데이드를 줄이고 최고의 와인을 빚고 있다. 참다래에 풍부한 유기산 특유의 상큼함이 고스란히 와인에 녹아 멋진 밸런스를 갖추고 있다. 또한 참다래 특유의 과일향이 어우러진 아로마와 저온발효와 저온숙성을 통해 생성되는 휘발성 에스테르가 훌륭한 부케를 형성하여 황금빛 와인에 풍미를 더하고 있다. &quot;다래와인 7004D&quot;는 참다래를 충분히 발효하여 알코올 함량이 12%로 단맛이 없으며 유기산이 강하게 느껴지고 뒷맛이 깔끔한 특징이 있다. 드라이와인으로 조금 차게해서 마시면 최적의 맛을 느낄 수 있다.,맑은 담황색을 가지고 있으며 처음 발효향이 강하게 올라오기 때문에 시음하기 전에 산소와의 접촉을 많이 하고 시음하는 것이 좋은 술이다. 단맛이 거의 없고 산미가 술 맛 전체를 이끌어간다. 목넘김은 깔끔하고 술이 전체적으로 가볍다. 스파게티와 같은 면 요리와 잘 어울린다.,경상남도 사천시 미룡길 31-20
