술 종류,술 이름,술 도수,술 재료,술 소개,술과 같이 먹는 음식
탁주(고도),옹기 막걸리,7%,"정제수,쌀가루(국내산),백설탕,활성건조효모(건조효모,유화제),국[조효소제(밀),정제효소],구연산,밀함유","단맛보다는 산미가 풍부해 느린마을 막걸리와는 다른 매력을 느낄 수 있고, 인공감미료 없이 우리 쌀로만 빚어 목넘김이 더욱 부드럽고 꾸밈없는 막걸리입니다.","한식 ,전류 ,육류."
탁주(고도),까망토끼,9%,"쌀,흑미 ,오미자(이상국내산),조효소제,정제수","까망토끼는 용인 백옥쌀과 국내산 흑미를 사용해 파스텔블랙 컬러의 매혹적인 색을 띄며,100% 수작업으로 빚는 프리미엄 탁주입니다.","전류 튀김류 ,우동 등등"
탁주(고도),온지몬,10%,"정제수, 찹쌀(국내산), 레몬청, 고구마, 감자, 누룩(밀 함유)","새콤 달콤 끝판왕 제주산 레몬을 세척 후 슬라이스해 직접 담근 청을 이용, 인공적인 행을 첨가 하지 않고도 자연스러운 레몬의 맛과 향이 잘 느껴집니다. 하나같이 심심하지 않은 맛이라는 점이데 온지 시리즈를 접해보신 분들이라면 고개를 끄덕끄덕 하실겁니다",식전주로 먼저 드셔도 좋습니다.단ㄱ튀김이나 통삼겹구이 같은 기름진 음식과 함께 하면 느끼함을 싹 잡아줍니다.
탁주(고도),방풍 막걸리,10%,"정제수,쌀(국내산),방풍(국산)7.7%,누룩,수크랄로스(감미료)",여수 금오도 방풍막걸리는 방풍 잎에서 추출한 방풍즙이 7.7% 첨가된 막걸리입니다.옛부터 풍을 예방한다고 하여 이름붙여진 방풍나물은 뛰어난 약용성분을 가지고 있어 약재로도 사용되었습니다.,"보쌈,두부김치,골뱅이무침,파전 등등 ..."
탁주(고도),얼떨결에 옐로,6%,"쌀(국내산),좁쌀(국내산),옥수수(국내산),정제수,정제효모,효모,젖산(산도조절제),기타과당,곡자(밀),밀함유",기존의 묵직한 바디감의 막걸리들 과 달리 청량하고 가볍습니다.,"떡볶이, 샐러드,치즈 등등 .."
탁주(고도),달,12%,"유기농 찹쌀(충남 홍성군 홍동면), 우리밀 누룩 , 암반수 약산샘물",새콤하고 달콤하며 쌉싸름한 맛이 조화를 이루고 곡식향과 천연 탄산 감이 어우러진 우리 술 백미 탁주입니다.,치즈와 궁합이 너무 좋습니다.
탁주(고도),서울야행,8%,"정제수,쌀 (김포산),누룩 밀 함유","오직 쌀, 물, 직접 제조한 누룩으로만 담근 100% 순곡주입니다.","소고기구이 ,회무침 , 만두 ."
탁주(고도),해창 생막걸리,12%,"정제수.참쌀(국내산)15.3%,멥쌀(국내산),입국,곡자(밀) 밀합유 효모","땅끝마을 해남에서 온 프리미엄 생 막걸리 찹쌀과 멥쌀 그리고 물,원재료의 고요한 맛과 향을 그대로 담아 자연 발효로 장기간 숙성시켜 만듭니다.","전복구이 ,홍어무침, 김치찜, 빈대떡.."
탁주(고도),대담 13,13%,"국산 쌀, 국산 전통 누룩, 물,대잎","대나무잎에는 플라보노이드 성분이 많이 함유되어 있어 항산화, 항노화 및 항균 활성 작용을 합니다.
마지막 목넘김까지 대잎의 고유의 향미를 느낄 수 있습니다.","김치두부, 부추전 ,해물전.."
탁주(고도),하늘담6 생막걸리,6%,국내산 햅쌀,"구수하고 달달한 맛에 살짝 쏘는 탄산감이 좋은, 전통 생막걸리의 진수입니다.",
탁주(고도),희양산 생막걸리 9도,9%,"쌀(국내산/무농약),효모,누록(밀/국내산),정제수","담백하고 깔끔한 맛이 특징으로,단맛과 신맛,알코올이 균형을 갖춘 술입니다.","한식류 , 한정식 .."
탁주(고도),경기 쌀 막걸리,7.7%,"물,쌀(경기미 세마쌀26.67%),국,효모,밀함유",국내산 세마쌀을 100%원료로 합성 첨가물 없이 순수 재료로 깨끗하고 정직하게 만들어 깔끔하고 깊은 맛을 느끼실 수 있습니다.,
탁주(고도),월탁,13.1%,"쌀(국내산), 정제수, 누룩","월탁은 막걸리 제조 과정 중 인공 첨가제나 과일을 넣지 않았음에도 과일향을 느끼실 수 있습니다.마시는 사람이 어떤 과일을 생각하는지에 따라 잔 안에 가득히 퍼지는 과일향이 다르게 느껴지며,달콤한 과일향이 후각을 자극합니다.",
탁주(고도),벼리,6%,국내산 쌀13%,저온 숙성과정에 알코올을 일부 증발시켜 풍미를 가득 담았습니다.부드러운 목넘김과 깊고 상쾌한 맛을 느낄 수 있습니다.,
탁주(고도),온지오,10%,"정제수, 찹쌀(국내산), 건오미자, 고구마, 감자,누룩(밀 함유)",손으로 직접 짜내어 주질이 부드러운 서촌 막걸리의 특징 그대로 목 넘김이 깔끔해서 가벼운 느낌으로 즐길 수 있습니다.,닭튀김이나 통삼겹구이같은 기름진 음식과 함께 하면 느끼함을 싹 잡아줍니다.
탁주(고도),삼해주,15%,"양주쌀, 누룩, 정제수","삼해 주는 고려 시대부터 이어져 온 서울지역의 전통주입니다. 원래 궁중에서 의식이나 행사 사용하거나 사대부 집안의 가양주로 애용되다가 조선시대에 큰 사랑을 받았습니다. 15도 도수가 느껴지지 않을 만큼 부드러우며 단맛, 신맛 등이 적당히 잘 어우러지고 뒷맛도 깔끔합니다.",
탁주(고도),인천 생 소성주,6%,"정제수, 쌀(외국산),팽화미(외국산),이소말토올리고당, 국, 효모, 정제효소, 종국, 아스파탐(페닐알라닌 함유,합성감미료), 구연산, 밀(곡류)함유","기존의 막걸리의 이미지가 남성적이고 투박하며 거칠고 탁한 맛이었다면 생소성주는 여성들과 젊은층도 선호할 수 있도록 숙성시간과 담금횟수를 늘려 부드럽고 톡 쏘는 청량감이 느껴져 누구나 부담없이 마실수 있도록 하였다.

인천의 통일신라 시대 이름인 소성현에서 이름이 유래한 생소성주는 80년 넘게 막걸리를 빚으며 업계최초로 쌀로 만든 막걸리를 만들었고, 인천지역 최고의 점유률을 자랑하는 대표 막걸리이다.

또한 포장에는 소비자들에게 즐길거리를 제공하기 위해 12간지 동물을 그려넣어 막걸리를 마시면서 재미있는 대화의 소재가 될수 있도록 하였다.

생소성주는 성인이라면 누구나 마음편하게 마실수 있도록 부담없는 가격으로 공급해야 한다는 마인드를 바탕으로 지속적인 연구와 개발을 끊임없이 하고 있다

1990년 업계 최초로 쌀 막걸리를 출시한 인천탁주. 90년대 초부터 수출을 시작하고 92년 우수 포장선정 국세청장의 표창까지 받은 유서 깊은 양조으로, 인천지역 막걸리 시장의 큰손으로 자리매김하고 있다. 지난 1974년 인천지역의 11개 양조장의 합병으로 만들어져 72년간의 오랜 경험을 바탕으로 인천의 자부심을 가지고 막걸리를 빚고 있다.

생 소성주는 숙성시간과 담금 횟수를 늘려 부드럽고 톡 쏘는 탄산의 상쾌한 청량감이 느껴지며, 특유의 감칠맛이 매력적이다.",원료인 팽화미에서 나오는 고소한 향이 올라오는 것이 특징이다. 전체적으로 바디감과 목넘김이 가볍고 삼킨 후 남는 떫고 텁텁한 좋다. 생선회와 잘 어울린다.
탁주(고도),인천 소성주 플러스,6%,"정제수, 쌀(국내산), 국(밀함유), 팽화미(국내산), 올리고당, 효모, 아스파담(감미료, 페닐알라딘 함유), 구연산","소성주플러스 막걸리는 국내산 쌀과 한국 식품 연구원 우리술 연구팀과 공동개발한 국내산 전통 누룩의 우수효모로 만든 인천탁주에서 개발한 프리미엄 막걸리이다.

깨끗하고 부드러운 맛이 특징인 소성주플러스는 알코올 도수를 5%로 하여
여성들과 젊은층들이 선호하는 저도주 막걸리 시장의 특성을 잘 살린 막걸리이다. 

또한,  생소성주 라벨에 12간지 동물을 그려 넣었듯이 소성주플러스 라벨에도 12가지의 재미난 문구를 삽입하여 골라먹는 재미를 만들었다.",
탁주(고도),쌀은 원래 달다,9%,"쌀(국내산) 36.28%함유, 국, 효모, 혼합제제(효모가루, 유당)","자연의 맛 그대로,
소중한 분과 함께하는 고품격 프리미엄 막걸리

쌀은 원래 달다는 합성감미료를 전혀 사용하지 않고 오직 국내산 쌀로만 단맛을 구현한 프리미엄 막걸리입니다.
쌀은 원래 달다는 이화주 전통방식을 현대적으로 재해석하여 맛과 풍미가 가득한 생막걸리입니다.",
탁주(고도),궁예의 눈물,10%,"포천쌀31.1%,누룩3.1%,억새어린순0.3%,정제수65.6%.",왕건이 궁예에게 잡혀 크게 울었다고 해서 이름붙여진 산정호수의 명성산 그 산의 억새를 재료로 만든 가양주,
탁주(고도),고향춘,10%,"포천쌀9.6%,찹쌀19.2%향미참쌀9.6%,전가네 이화곡3.8%,정제수57.8%.",쌀가루 누룩(이화곡)으로 빚은 과일향과 단맛이 조화를 이룬 탁주이다.,
탁주(고도),유톡자톡,6%,"정제수,쌀(국내산),입국,감자,고구마,유자,효모,당류가공품",국내산 쌀에 유자를 더해 빚은 막걸리입니다. 유톡자톡은 화학첨가물을 일체 넣지 않고 국내산 우수한 품질의 양주 쌀로 만든 순수한 막걸리입니다.,"갈비찜,두부김치,족발,파전.닭갈비 곱창전골 양꼬치 양갈비"
탁주(고도),감성 막걸리,6%,"정제수,쌀(경기산),에리스리톨,국,효모",감성 막걸리는 천연 감미료와 국내산 100% 경기미를 사용하여 빚은 용인 지역특산주입니다.,"피자 ,족발,수욕,치킨"
탁주(고도),달막,13%,"정제수,쌀(국내산),국,효모,산도조절제",달막은 탄산 없이 묵직한 바디감과 과일 향이 특징입니다. 달막은 술을 거른 이후 물을 조금도 타지 않은 순수한 원주입니다. 오직 쌀 본연의 깊은 단맛을 살린 탁주로 걸쭉하면서 진한 맛을 느낄 수 있습니다.,"육전 ,홍어 삼합,닭백숙"
탁주(고도),찰진,7%,"정제수,찹쌀(국내산),멥쌀 (국내산),누룩(밀)",찰진 막걸리는 예로부터 전해져 내려오는 전통주 중 조선시대에 가장 널리 빚어져 왔던 ‘석탄향’ 주조법을 그대로 재현하여 깊고 풍성한 우리술의 풍미를 잘 살려낸 프리미엄 막걸리입니다.,
탁주(고도),오미자씨,7.8%,"희양산우렁쌀(국내산/유기농100%),효모,오미자(국내산/무농약),누룩(밀/국내산),정제수",부드럽고 뽀얀 분홍빛의 색을 보고 딸기우유가 떠오르지만 그 맛은 그리 달지 않아 깔끔하고 질리지 않게 마실 수 있는 오미자 막걸리입니다. 탄산이 없고 새콤한 맛이 강해 오미자의 맛을 더 잘 느낄 수 있습니다.,"한식류,한정식"
탁주(고도),하얀허브,8%,"쌀(국내산),누룩(국내산),허브(국내산 유기농)","하얀허브는 깨끗한 쌀,깨끗한 허브,깨끗한 누룩으로만 빚은 프리미엄 수제 막걸리입니다.","샐러드,생선초밥,파스타 등등"
탁주(고도),벗이랑 마일드,8%,"쌀(국내산),정제수,누룩(밀함유),효모,정제효소",100% 국내산 우수한 재료만을 엄선하여 한밭골 최고 품질 옥토미로 세 번 빚은 프리미엄 전통주입니다.,"육류,해산물류와 한식,양식."
탁주(고도),이천미 예술,14%,"백미(국산),밀누룩(국산),정제수 밀(누룩)함유","국내산 이천 쌀과 500년 전통 누룩으로 빚어 전통 누룩의 깊은 향과 쌀 고유의 자연스러운 단 맛,부드러운 목 넘김이 좋습니다.","보쌈,김치찜,튀김,파전."
탁주(고도),한탄강 익스프레스,12%,"멥쌀, 국, 효모, 조효소제","단 맛 없이 깔끔하고 새콤하고 쌉쌀한 맛을 가진 탁주입니다.달고 무거운, 텁텁한 맛을 가진 막걸리에 질렸다면,
한탄강 익스프레스는 깔끔하게 즐길 수 있는 전통주입니다.","육류,매콤한 음식."
탁주(고도),포그막 10,10%,"정제수 ,찹쌀,국,효모",조선시대 선비들에게 합격 찰떡으로 유명했던 유가 찹쌀만으로 빚은 술입니다.신맛을 강하게 생산하는 사워 효모를 사용하여 빚은 술입니다.,"넛츠류,과일류,밀초콜릿."
탁주(고도),문콕,8%,"찹쌀13.19%,멥쌀6.90%,누룩2.07%,정제수77.24%",문삼이공 막걸리 저도수 버전으로 가벼운 맛 대비 화려한 풍미를 지니고 있습니다.,"떡볶이,골뱅이 무침,닭갈비,"
탁주(고도),고타 하이크,6%,"물,쌀(국내산),국,효모",강원도 햅쌀을 사용해 빚은 고타 시리즈 막걸리는 부드럽지만 나약하지 않은 6도의 상쾌한 풍미가 있는 막걸리입니다.,
탁주(고도),포도 막걸리,12%,"쌀(국내산-포천 으뜸쌀), 포도(국내산-포천), 누룩(국내산), 정제수",리얼 100% 포도만 100% 천연발효 수제 막걸리입니다. 아스파탐은 물론 그 어떤 화학물질도 들어가지 않은 순수한 막걸리입니다.,"견과류,샐러드"
탁주(고도),연하,12%,"쌀(국내산), 누룩(국내산), 백년초(제주산), 진피(제주산), 정제수",연하 막걸리는 붉은색의 노을빛을 담고 있는 제주의 술입니다.부드러운 질감에 요거트 향과 시트러스 한 향이 나는 것이 특징입니다.,
탁주(고도),배꽃 필 무렵,9%,"쌀(국내산), 정제수, 누룩(밀)",쌀로만 만들어서 새하얀 색을 띠는 전용 누룩 [이화곡]으로 빚은 탁주입니다.,"구운 고기류 ,달콤한 디저트류"
탁주(고도),이화주,8.5%,"쌀(국내산,양주시),찹쌀(국내산), 정제수, 쌀누룩",이화주는 고려시대 때부터 빚어졌던 술로써 물을 거의 사용하지 않는 다는 것이 가장 큰 특징이며 농축 요구르트와 같은 된 죽 형태이고 달달한 맛과 독특한 향이 특징입니다.,"과일 ,견과류"
탁주(고도),이화주 참,9%,"정제수,백미(국내산),입국(백미),누룩,효모",고려시대부터 전해 내려오는 전통 탁주입니다. 산미는 거의 없고 진한 단맛 뒤에 이내 쌉쌀한 맛이 따라와 마냥 달콤한 줄 알았던 맛에 반전을 선사합니다.,"견과류,과일,빵,크래커"
탁주(고도),여수밤바다 옥수수막걸리,6%,"정제수, 옥수수분말, 자일리톨, 효모, 누룩, 물엿, 정제효소",지하 200m 청정 암반수에 국내산 쌀로 빚은 살균 막걸리입니다.,
탁주(고도),한통의 구절초꽃술,11%,"정제수, 기찬쌀, 구절초꽃, 연잎, 도꼬마리열매, 둥굴레, 감초,  향온곡 누룩, 사카린나트륨제제, 사카린나트륨",상큼하고 순수한 곡향이 입안에 감미롭게 퍼져나갑니다.,"파스타,소고기,생선회,빈대떡."
탁주(고도),14도 자색고구마 막걸리,14%,"쌀, 국, 물, 효모, 자색고구마","자색고구마막걸리는 누룩과 쌀로 처음 밑술을 만들어 발효시킨 후,고두밥과 자색고구마를 넣어 두 번 발효시키는 이양주 방식으로 빚어진 탁주입니다","모든전, 두부김치."
탁주(고도),고메순,6%,"정제수, 쌀, 찹쌀, 누룩, 자색고구마, 효모, 효소처리스테비아",진주 곡자 전통누룩으로 만들어 우리나라 전통 막걸리의 풍미가 살아있으며 살아있는 효모가 계속 발효하여 풍부한 자연 탄산이 특징입니다.,
탁주(고도),선산 스위트,8%,"쌀(선산찹쌀100%),누룩(국내산),효모,정제수",선산 스위트는 쌀에서 나오는 당분과 산미에 초점을 맞춘 우리술입니다. 일반 막걸리와 달리 높은 농도의 진한 쌀맛을 느끼실 수 있습니다.,"매콤한 찜요리 ,다양함 전요리 ."
탁주(고도),힙걸리,6%,"정제수, 쌀(국내산), 국, 효모 (밀함유)",단맛을 위한 인공감미료 첨가 대신 막걸리를 장기숙성시켜 쌀의 단맛과 향긋한 과일향으로 딸딸함을 최대한 끌어냈습니다.,"전,양식,치킨,피자,건어물,떡볶이 등"
탁주(고도),선희 10,10%,"정제수,참쌀(국내산),멥쌀(국내산),사과(국내산),고구마(국내산),오렌지(미국산),누룩(국내산)","선희10은 항아리에서 100일 동안 저온 발효 숙성하는 오렌지 ,충주 사과 막걸리입니다.","떡볶이,피자,양념치킨."
탁주(고도),청명탁주,12%,"국내산 찹쌀, 국내산 누룩, 국내산 소맥분","청명탁주는 일체의 첨가물 없이 찹쌀과 누룩으로만 만들었습니다.

기존의 청명주와 달리 구멍떡으로 밑술을 빚는데 다른 밑술에 비교하면 쉽지 않은 방법입니다.

발효와 숙성이 합쳐서 3개월이상이 소요됩니다.","양념육, 돼지갈비 등이 잘 어울립니다."
탁주(고도),마크홀리 핑크,10%,"정제수,쌀(김포산),국,산도조절제,효모",국내산 쌀과 전통 누룩 대신 맥주 효모를 사용해서 빚은 생 막걸리입니다.,
탁주(고도),담은 블랙,6.5%,"정제수,흑미,쌀(국내산),젖산효모,기타과당,정제효소제","담은은 특유의 부드럽고 달콤한 맛을 내기 위해 생쌀 그대로 발효하는 담은만의 수제 공법을 고집하고 있으며 쌀이 주는 고유의 맛과 질감,그리고 색을 극대화 하였습니다.",전
탁주(고도),청춘7도,7%,"정제수, 쌀(국내산), 국(밀함유), 효모",청춘 7도는 청주의 청원생명쌀[특등급]로 만든 막걸리입니다. 부담스럽지 않은 단맛과 막걸리 특유의 바디감이 특징입니다.,매콤한 한식과 잘 어울립니다.
탁주(고도),사일로 막걸리,10%,"찹쌀(국내산), 멥쌀(국내산), 개량누룩, 정제수",사일로 막걸리는 3번의 담금 과정을 거친 삼양주입니다.원재료 이외의 어떠한 첨가물도 들어가지 않은 막걸리입니다.,
탁주(고도),호심,17.5%,"쌀(경기미), 국, 효모, 정제수",호심은 찹쌀 없이 멥쌀 100%로만 만들어서 담백합니다. 새콤달콤 깔끔한 단맛입니다.,제육볶음
탁주(고도),와구리 막걸리 세미스위트,5%,"정제수,쌀(국내산),입국,누룩,효모,정제효소제,기타과당(옥수수전분100%)",은은한 쌀꽃향이 나는 가볍고 부드러운 막걸리입니다.,"한식,육류,식사류."
탁주(고도),숲향벼꽃 술도깨비,5.8%,"정제수, 찹쌀(한국), 멥쌀(한국), 국(한국/쌀, 밀), 식물(한국:헛개열매, 국화, 표고, 여주, 감초), 조제종국, 정제효소, 효모, 아스타팜(합성감미료, 페니알라닌함유)","숲향벼꽃 술도깨비는 단일 발효국이 아닌 특허 등록된 된 표고균사체배양미,인삼을 활용한 약용국,개량누룩 등을 배하는 비법으로 빚어 오감의 풍미,깔끔한 후미 청량감이 우수한 조화로운 생막걸리입니다.",
탁주(고도),선산 베이직,6%,"쌀(선산찹쌀100%),누룩(국내산),효모,정제수,","순곡주로 산미,은은한 여러 진한향을 느끼실 수 있는 깔끔한 샴페인 같은 단양주입니다.","제철 해산물 요리,파스타 요리,간단한 견과류"
탁주(고도),민주허브막걸리,14%,"쌀(국내산-포천 으뜸쌀), 허브(국내산-포천), 누룩(국내산), 정제수","민주허브막걸리는 인공 첨가물 대신 허브를 사용했기 때문에 허브의 향긋함과 깊은 맛을 강조했습니다.

특히 잉글리쉬 라벤더와 로즈마리, 레몬 버베나를 적절하게 조합하여 맛과 향이 뛰어나며 목 넘김도 부드럽답니다.",
탁주(고도),온지 쑥,10%,"정제수, 찹쌀(국내산), 고구마, 감자, 쑥, 누룩(밀 함유)","치 생쑥을 씹는 거처럼 쑥의 향이 강렬하게 느껴지는 이 술의 이름은 온지 쑥입니다.
60일의 발효과정과 30일의 숙성기간을 거쳐 지게미와 쑥의 향이 풍부하게 담겨있습니다.","맑은 국물의 탕 요리나 미나리전,담백한 흰살생선과도 잘 어울립니다."
탁주(고도),지리산 허브잎 술,6%,"쌀(국내산), 종국, 정제수, 누룩, 효모, 국내산 허브",지리산 허브잎술은 지리산 바래봉 해발 500m 높이에 위치한 지리산 운봉주조에서 탄생했습니다.단맛이 적고 은은하게 느껴지는 산미가 아주 매력적! 대한민국 우리술 품평회 살균탁주 부분에서 2번의 대상을 수상할 정도로 맛과 품질이 모두 뛰어납니다.,
탁주(고도),너디블랑,5%,"정제수, 찹쌀(국산), 로즈마리, 타임, 누룩, 효모, 정제효소","너디블랑에 들어간 타임이 생선의 비릿함은 잡아주고
로즈마리의 향긋함이 풍미를 높여주기 때문에 생선요리와 아주 잘 어울립니니다.",생선요리
탁주(고도),숨은골 탁주,12%,"찹쌀 28.9%, 누룩 2.9%, 정제수 68.2%","지역(완주 동상면)찹쌀과 누룩,물로만 빚은 1번 발효한 단양주입니다.부드러운 단맛과 상큼함을 담았으며 마시는 잔마다 맛과 향이 달라지는 재미가 있습니다.","차돌박이 숙주볶음,백김치,고추전,과일"
탁주(고도),이상헌 탁주,14%,"아산쌀, 국(국내산 밀누룩), 정제수","곡물의 향이 좋고 적당한 단 맛과 드라이한 맛,부드러운 목 넘김을 좋습니다.","불고기,꼬막 무침,김치찜,모든전"
탁주(고도),써드 (3rd),9%,"정제수,찹쌀(국내산파주),멥쌀(국내산파주),누룩(밀함유) (국내산김포)","오직 쌀이 주는 은은한 단맛과 과하지 않은 과실형,입안에 감싸는 부드러운 텍스쳐와 목넘김이 특징입니다.",
탁주(고도),동백 꽃이 피었습니다,9%,"멥쌀(국내산), 찹쌀(국내산), 누룩, 정제수",100% 부산쌀로 누룩과 정제수만을 사용하며 제조 하였습니다.첨가제 및 감미료가 들어가지 않고 저온 발효로 찹쌀의 깊은 풍미를 느낄 수 있습니다.,
탁주(고도),맵시 막걸리 화이트,6%,"정제수,쌀(국내산),기타과당,누룩,효모,효소제,아스파탐","24시간 합 720시간 이상의,7차례의 과정을 지닌 품질 검증을 끝낸 최고금 백국 누룩이기에 일반 전통주에서 맛볼 수 없던 특유의 감칠맛을 맛볼 수 있습니다.",
탁주(고도),맵시 막걸리 레드라벨,5%,"정제수,쌀(국내산),기타과당,소다맛시럽,물엿,",상큼한 레몬바닐라의 맛을 즐길 수 있는 새콤한 맛입니다.,
탁주(고도),맵시 막걸리 블랙라벨,10%,"정제수,쌀(국내산),누룩,효소제,효모",고집스러운 전통방식을 통해 귀하게 만들어진 집중도 높은 전통주입니다.,
탁주(고도),복순도가 찹쌀탁주 9도,9%,"정제수,찹쌀(국산).27.4%,곡자(밀)",참쌀에서 배어나온 단맛이 기분 좋게 혀를 감돕니다.영양가 높은 찹쌀의 찰기는 더욱 깊고 진한 맛을 선사합니다.,"고소한 전 ,튀김류,해산물요리."
탁주(고도),호땅,6%,"물,쌀(국내산),고과당,국(밀),합성향료(호두향,두유향,커피땅콩향),땅콩(국내산),효모,젖산(산도조절제), 효소처리스테비아 (밀,땅콩함유)","호땅은 국내산 쌀로만 빚어냅니다. 

또, 일반 막걸리와는 다르게 쌀을 찌지 않고, 

생 쌀을 갈아서 만드는 생쌀발효법으로 제조합니다. 

​

이렇게 제조함으로써 입안에서의 질감이 훨씬 부드럽고, 

목넘김이 가벼운 것이 특징입니다. 고소한 맛을 재현하고자, 땅콩에 호두 향을 더해 담백하고, 풍미 가득하며, 부드러운 맛을 느끼실수 있습니다.","족발,회,닭볶은탕..."
탁주(고도),너디로제,5.5%,"너디로제:정제수, 찹쌀, 체리, 효모, 정제효소","체리의 풍부함과,애플민트의 시원한 향이 만드는 환상의 하모니의 새콤달콤한 막걸리입니다.","체리빵,각종 디저트류,파스타."
탁주(고도),너디펀치,5%,"정제수, 찹쌀, 효모, 정제효소","참쌀의 부드러운 단맛과 최적의 발효온도로 구현한 청량한 산미,저온 숙성을 통한 풍부한 과실향,상큼한 피니쉬가 조화롭습니다.",과일.
탁주(고도),춘풍 미주,12%,"멥쌀, 찹쌀, 효모, 입국, 누룩, 정제수 (모두 국내산)","춘풍 미주는 윗술과 아랫술로 나뉘어져 있습니다. 맑은 윗술은 은은한 단 맛과 정돈된 산미, 약간의 쌉쌀함이 조화롭습니다. 진한 아랫술은 바닐라, 바나나, 멜론의 풍미, 단 맛, 산미가 더 역동적으로 느껴집니다.","제철 회, 해산물찜, 갈비찜, 소, 돼지 바베큐, 장어 구이, 이태리 마르게리타 피자, 해산물 리조또, 태국식 허브를 곁들인 새우 구이, 볶음면"
