술 종류,술 이름,술 도수,술 재료,술 소개,술과 같이 먹는 음식
"약주, 청주",덕두도가 약주 16도,16%,"찹쌀(완도산), 쌀(완도산), 누룩(국내산), 국(완도산), 효모, 정제수 / 밀 함유","국내산 재료만을 사용하여 세번 빚은 약주로 걸쭉한 질감과 찹쌀의 진한 단맛이 특징이다. 캬라멜시럽을 코팅한 식빵 러스크처럼 달콤하고 고소한 향이 나는 술이며, 참외, 바나나 등 과실향도 선명하게 올라온다.","어느정도 단맛이 느껴지는 매콤하거나 짭짤한 안주, 흑돼지하몽, 두부김치, 오리불고기, 찹스테이크"
"약주, 청주",스물아홉,12%,"정제수, 멥쌀(철원 오대쌀), 국(쌀, 밀), 국화(국내산), 효모, 밀함유","철원 오대쌀로 만든 약주 ‘스물아홉’은 쌀에서 추출된 천연의 단맛과 발효과정에서 생긴 국화의 옅은 산미가 특징. 전체적으로 잘 익은 멜론, 배, 참외 등의 과실향이 맛의 중심을 이루고 있다. 노래 &amp;lt;스물아홉&amp;gt;은 아이와 어른 사이에 위치한 스물아홉 살들을 위로하고 있다. 병 라벨에 인쇄되어 있는 QR코드를 통해 &amp;lt;스물아홉&amp;gt; 뮤직비디오와 음원을 감상할 수 있다.",
"약주, 청주",댄싱파파,15%,"사과 즙(국산), 정제수, 사과산(산도 조절제), 탄산가스, 효모, 메타중아황산칼륨(산화방지제), 아황산류 함유",댄싱사이더 컴퍼니에서 사과를 발효시켜 만든 과실주. 한 병에 국산 사과 2개가 그대로 들어가 새콤달콤 상큼한 사과 풍기가 가득하다. 낮은 당도에 드라이하고 깔끔한 맛이 특징이다.,"크림파스타, 후라이드 치킨"
"약주, 청주",연월주,20%,"쌀(여주산), 누룩, 쌀증류식소주원액, 정제수",청주에 증류주를 섞는 조선시대 과하주를 술아원 양조장 방식으로 재해석한 약주. 쌀의 단맛을 줄이고 산미를 부각한 것이 특징이다.,"초밥, 기름진 고기구이"
술 종류,술 이름,술 도수,술 재료,술 소개,술과 같이 먹는 음식
"약주, 청주",예화,13%,"쌀, 누룩, 효모, 물엿, 정제수","""예화""는 오랜 전통의 ""가야곡왕주""가 ""대윤가야곡주조""로 새출발을 하며 현대적 감성을 가진 진화하는 전통주 상품개발의 일환으로 선보인 제품입니다. 엄선된 우리 쌀과 야생 국화, 구기자로 정성껏 빚어낸 약주에 물엿과 사과 엑기스로 풍미를 더합니다. 예화는 현대인의 식생활 패턴을 반영, 기존 왕주 제품을 아스파탐과 같은 인공감미료를 전혀 사용하지 않고 물엿과 사과 엑기스를 사용하여 타사 제품 대비 낮은 당도와 깔끔한 맛은 물론 숙취까지 적은 고급 약주입니다.",맑은 황금빛의 색을 가지고 있으며 쌀로 빚은 술이지만 익은 과실향과 훈연된 향기가 동시에 올라옵니다. 술을 마시면 살균했을 때 올라오는 고소함과 단맛이 함께 올라오고 산미는 적습니다. 술을 마시고 난 후에 입 안에 남는 고소함이 독특합니다. 문어 숙회 등과 잘 어울힙니다.
"약주, 청주",예담은 한산소곡주,16%,"찹쌀, 멥쌀, 누룩, 대두, 구절초",&amp;amp;quot;한산소곡화주&amp;amp;quot;는 국내산 찹쌀과 누룩을 주원료로 빚은 오랜 전통과 역사를 자랑하는 전통주입니다. 강한 첫맛과 함께 깔끔한 뒷맛을 가지고 있으며 고급원료를 사용하기 때문에 그 맛과 향이 어느 술보다 뛰어나다. 술맛이 뛰어나 한번 앉아서 마시기 시작하면 일어날줄 모른다하여 &amp;amp;quot;앉은뱅이 술&amp;amp;quot;이라는 별칭도 가지고 있습니다.,진한 담황색의 술입니다. 술의 단맛이 술이 오래 익었을 때 나오는 캐러멜 향과 잘 섞여 있습니다. 알코올의 자극적인 맛이 식도를 타고 식도를 흐릅니다. 술을 마시고 난 후에 입 안에 남는 섬세한 쓴맛이 좋습니다. 일상에서 먹는 반찬과 잘 어울립니다.
"약주, 청주",연천 연주,12%,"쌀(국내산), 누룩, 정제수","경기도 최북단 DMZ의 민통선에 위치한 연천양조장에서 연천 고래실논에서 재배되는 연천쌀과 누룩으로 빚은 연천 연주는 전통방식의 약주인데 단맛이 감하지 않아 마실 때 술과 안주를 부르는 맛입니다. ""연주(戀酒)""는 사랑스러운 뜻도 있지만 자기 돈 내고 마시고 싶은 술이란 의미도 지닙니다. 그 만큼 양조인 스스로도 고개가 끄덕여지는 술맛을 내겠다는 다짐으로 집어진 술입니다.","기분 좋은 황갈색을 띤 무감미료 수제 약주. 은은한 누룩향이 먼저 피어오르는 첫인상을 가지고 있습니다. 입에 머금으면 기분 좋은 산미와 단맛이 조화를 이루며 침샘을 자극합니다. 마무리는 부드러운 누룽지향. 산미가 도드라진 만큼 강한 맛보다는 담백한 음식이 잘 어울릴 것으로 보입니다. 삼겹살, 양념갈비보다는 수육 및 육회 등이 좋을 듯하며, 김치전보다는 해물전이 더 잘 어울릴 듯합니다."
"약주, 청주",애석,15%,"국내산쌀, 누룩, 정제수","""애석""은 쌀과 누룩만으로 빚어낸 석탄주입니다. ""석탄주""는 애석할 석(惜)자 삼킬 탄(呑)으로서 옛 고서에서 술의 맛과 향이 우수하여 감히 삼키기가 아깝다라고 전해오고 있습니다. 임원십육지를 비롯해서 양주방, 음식방문, 조선무쌍신식요리제법 등 여러 고문에서 ""석탄향""에 대한 기록을 찾을 수 있는 것으로 보아 당시에는 상당히 대중적인 술이었음을 알 수 있습니다. ""애석""은 기록으로만 전해오던 가양주를 복원한 값진 술입니다.","석탄주가 단맛을 많이 자아내는데 반해 &quot;애석&quot;은 단맛이 많이 느껴지지 않고 산미 또한 적은 편입니다. 감칠맛이 돋보이고 산뜻한 느낌을 줍니다. 석탄주 제법으로 빚은 술의 특징 그대로 맛을 배가 시키는 향이 뛰어납니다. 맑고 은은한 단맛을 잘 살려주는 녹두전, 해물잡채 등과 어울립니다."
"약주, 청주",신선주,16%,"쌀, 능금, 신선초, 천궁, 구기자, 당귀솔잎, 대추, 인삼","오래전부터 약주를 장기간 복용하게 되면 늙지도 않고 머리가 검어지며, 동안이 되어 결국에는 신선처럼 된다는 전설이 내려옵니다. &quot;신선주&quot;에는 능금, 신선초, 천궁, 구기자, 당귀솔잎, 대추, 인삼 등 몸에 좋은 다양한 약재가 들어가 있습니다. &quot;신선주&quot;는 건강 증진의 목적과 함께 전염병에 대한 예방과 치료, 성인병으로 상징되는 혈환관계 질환과 신경관계 질환에 대한 예방과 치료, 강장 강정효과, 머리와 피부를 늙지 않고 윤택하게 만들어 주는 약재들이 들어간 &quot;약주&quot;입니다.",아주 맑은 황금빛의 술이며 당귀 등과 곡물에서 나오는 약재향과 고소함이 잘 올라옵니다. 단맛과 신맛이 잘 갖춰져 있으며 처음 입 안에 들어오는 센맛이 독특합니다. 첫맛은 강하지만 시간이 지나면 가볍게 사라집니다. 알코올의 맛이 술을 마시고 난 후에도 오래 머무릅니다. 진한 불고기와 잘 어울립니다.
"약주, 청주",세종 오가닉,13%,"정제수, 유기농 백미, 국, 효모, 정제효소, 구연산",100% 유기농 원료로 만든 &amp;quot;Organic&amp;quot;은 &amp;quot;2014년 지역희망 박람회 지역특화상품전&amp;quot;에서 최고상인 산업통상자원부 장관상을 받았습니다. 최고급의 재료만으로 빚는 술은 세계 유기농 엑스포 공식 건배주로도 사용된 술이며 유기가공 식품 인증과 품격을 갖춘 세련된 디자인은 마치 와인을 보는듯한 착각마저 일으킵니다. 단맛은 적으면서 깔끔해 부담없이 마시기도 좋습니다.,누룽지 향이 강하게 올라오고 단맛은 적고 산미가 있어 목넘김이 깔끔하고 입 안 전체에 퍼지는 느낌이 좋습니다. 생선찜과 잘 어울립니다.
"약주, 청주",설련주,16%,"백련, 찹쌀, 멥쌀, 누룩",설련주는 식품명인 제74호로 지정된 곽우선 명인이 빚은 약주입니다. 진흙에서 피어도 깨끗한 백련처럼 세상을 살고자 했던 조상의 뜻을 잊지 않기 위해 백련꽃으로 술을 빚어 대대로 제사와 혼례에 마시던 술입니다. 직접 빚은 전통누룩을 이용하여 밑술과 두 차례의 덧술로 정성껏 빚은 삼양주입니다. 은은한 백련꽃 향이 살아있는 명술입니다.,"기분 좋은 담황색으로 시작하는 약주입니다. 부드러운 산미가 입속을 감싸주며, 이내 쌀 향이 주는 매끈한 단맛으로 후미를 장식합니다. 가벼운 누룩향이 있는데, 숙성된 장을 느끼는 듯한 진한 맛이 살아있습니다. 한복을 입고 마시면 가장 잘 어울릴 듯한 격식을 갖췄으며, 명절 때 차례주, 또는 제사주로 사용하는 것을 추천합니다. 잘 어울리는 안주는 다소 진한 맛이 있는 만큼 진한 안주가 잘 어울리며, 주로 간장 맛이 좋은 불고기, 간장 게장, 궁중 떡볶이 등을 추천합니다. 연잎이 들어간 만큼 연잎밥과도 좋은 매칭입니다."
"약주, 청주",석탄주 약주,15%,"국내산 찹쌀, 누룩, 정제수","""석탄주""는 애석할 석(惜)자 삼킬 탄(呑)으로서 옛 고서에서 술의 맛과 향이 우수하여 감히 삼키기가 아깝다라고 전해오고 있습니다. 임원십육지를 비롯해서 양주방, 음식방문, 조선무쌍신식요리제법 등 여러 고문에서 ""석탄향""에 대한 기록을 찾을 수 있는 것으로 보아 당시에는 상당히 대중적인 술이었음을 알 수 있습니다. ""석탄주 약주"" 는 기록으로만 전해오던 가양주를 복원한 값진 술입니다.","옅은 황금색의 색을 가진 석탄주입니다. 살짝 코끝을 스치는 시트러스 계열의 과실향이 다가오지만 이내 이 술이 추구하는 바가 무엇인지 알게 됩니다. 그것은 단맛이 전혀 없는 드라이함의 극치. 식중주가 잘 어울리는 약주로, 술의 향을 즐기기 위해 자극성 없는 음식과 함께 즐기는 것이 중요합니다. 고기류라면 기름기가 적은 수육, 생선이라면 맛을 최대한 이끌어 내기 위해 참치 뱃살 등이 잘 어울립니다."
"약주, 청주",서주 16%,16%,"백미(국내산), 감자(국내산), 누룩, 효모, 정제수","""서주""는 감자술을 한자로 적은 이름입니다. 일반 감자술 제품을 좀더 숙성 시키고 고급스러운 도자기에 담아낸 프리미엄 제품입니다. 국내 유일의 감자를 주원료로 만든 약주입니다. 강원도의 특산품 감자를 발효시켜 빚은 술로 감자와 곡물이 어우러져 은은한 향이 풍미를 더해 줍니다. 2018년에는 평창동계올림픽성공을 기념하기 위해 청와대 명절선물로 선정되기도 했습니다. 강원도 오대산에서 흘러내린 맑은 물 오대천과 고랭지에서 재배한 최상급 감자가 만나 강원도를 대표하는 ""감자술""이 빚어졌습니다.",살짝 갈아놓은 감자에서 느낄 수 있는 식감이 있습니다. 맑은 연두 빛의 개성 있는 색깔에 담백한 단맛이 느껴집니다. 너무 맵고 짠 음식은 자칫 감자술의 은은한 맛이 가려질 수 있기 때문에 자극적이지 않은 안주를 추천합니다. 기름진 감자전하고 즐기면 딱 좋습니다.
"약주, 청주",모든날에,15%,"정제수48.8%, 찹쌀(국내산, 39%), 멥쌀(국내산, 7.8%), 밀누룩4.4%",한계령 맑은물과 설악산아래 양양쌀로 빚은 정통삼양주로 자연의 맛과향의 무첨가 순곡주이다.,-
"약주, 청주",모을동주 약주,13%,"쌀(국내산), 조제종국 효모, 정제효소, 정제수","모을동주 약주는 철원군농민회가 주축이되어 설립한 대작영농조합에서 생산한 철원 오대쌀 100%로 빚은 술이다. 찰지고 맛 좋기로 유명한 철원 오대쌀, 그러나 식생활의 변화로 쌀 소비는 줄어들고 귀한 쌀이 팔리지 않는 현실을 극복하고자 농민들이 의기투합하여 철원 오대쌀을 활용하여 부가가치 있는 술을 빚어 판매하기로 한다. 그 두번째 술인 모을동주 약주, 소주 제품이 출시된 후 강원도를 대표하는 또 하나의 술로 자리매김하고 있다.","기분 좋은 담황색을 띠고 있는 약주다. 마치 하늘에서 내리는 꽃비와 같은 경쾌한 색이다. 새콤한 맛에서 시작하지만 이내 뭉근한 터치감이 입속을 장식하고 마무리는 부드러운 단맛으로 마무리되는 느낌이 이 술이 가진 고급성을 그대로 나타낸다. 뭉근한 맛으로 안주 없이 술만 즐겨도 충분한 매력이 있으며, 음식과 같이 즐긴다면 비교적 자극이 적은 잡채 및 경단 등을 추천한다. 차갑게 마시는 것을 추천하며, 입속에 남는 찹쌀 특유의 단맛이 매력적이다."
"약주, 청주",방문주 약주,15%,"국내산 찹쌀, 누룩, 정제수","방문주(方文酒)는 이름 그대로 술 빚는 방법대로 빚은 술 을 뜻한다. 방문주는 주로 봄, 가을철에 빚는 술로 알려져 있는데, 문헌 및 가전비법에 따라 재료의 처리방법이 다양하므로, 술 빚기에 있어 까다로운 면이 없지 않다. 그러나 맛과 향, 알코올 도수의 함량 등에서 단연 특별하다 싶을 정도로 뛰어난 맛과 향취를 자랑한다.","옅은 황금색을 가진 방문주로 진한 과실향 보다는 신선한 곡물의 향이 떠오르는 느낌이다. 단맛은 배제되어 있지만, 후미에서 느껴지는 독특한 맛이 있다. 단맛이 적은 만큼 달콤한 음식과 잘 어울릴 듯하다. 배즙으로 듬뿍 들어간 한우 불고기, 잘 구워낸 떡갈비 등도 잘 어울리는 음식이다."
"약주, 청주",별바랑,17.5%,"국내산 찹쌀, 국내산 멥쌀, 누룩, 정제수",별바랑은 안동 바랑골에서 농사를 지은 쌀과 5대째 내려오고 있는 발효기법이 합쳐져 만들어진 술이다. 바랑은 승려들이 등에 지고 다니는 자루 모양의 주머니를 뜻한다. 지역명과 술을 담는다는 주머니를 중의적으로 이름에 담고 있다. 시흥 삼해주 5대 이수자인 서규리 대표가 운영하는 금계당에서 빚는 수제 막걸리로 생쌀 발효의 특징을 담아내듯 담백하고 100일 숙성된 술답게 맛의 균형감도 잘 잡혀 있다. 안동 대구서씨 가문의 제주로 쓰이고 있는 술이다.,"진한 아이보리 빛깔의 술로 잘 익은 술에서 오는 캐러멜 맛이 입 전체를 감싼다. 단맛이 주를 이루지만 적절한 산미가 술의 느끼함을 없애주고, 찹쌀의 진한 여운이 오래 남는 술이다. 다른 막걸리에 비해 도수(15%)가 높아 음식먹을 때 약주잔에 한잔씩 하기 딱 좋은 술이다. 불고기가 생각나는 술이다."
"약주, 청주",모월 청,16%,"쌀(국내산), 누룩, 정제수","지방분이 없도록 잘 씻은 불려 고두밥을 짓고 식힌 뒤, 물과 누룩과 혼합해 발효실로 옮깁니다.발효가 된 밑술에 다시 덧술을 넣고,22도 미만의 저온에서 지긋하게 장기 숙성을 시킵니다.그렇게 완성된 약주인 모월 청은 멥쌀을 사용한 덕에 달지 않고 상큼한 맛이 특징입니다.","육류 ,생선회"
"약주, 청주",명인 홍삼주,12.5%,"쌀, 홍삼, 누룩, 정제수 등","명인 홍삼주는 약효가 뛰어난 5년근 이상의 인삼을 저온 발효시켜 생산하는 한국을 대표하는 전통주이다. 삼국시대 백제 때부터 제조되었다고 구전되고 있으나, 기록에는 1399년 도승지와 이조판서를 지낸 김문기 가문에서 대대로 내려와 현재 16대손 김창수의 조모와 모친에 의해 전승 되었다. 16대손 김창수는 농림축산식품부에서 지정하는 식품명인 2호로 지정되었으며 금산인삼주의 맛과 품질을 계승하고 있다.",진한 황금빛의 술에 연하게 인삼향이 올라온다. 술을 마시고 난 첫 맛은 달고 그 뒤로 인삼의 특유의 쓴맛이 거부감 없이 퍼진다. 술은 전체적으로 가볍고 쓴맛이 술 맛을 이끌어 간다. 술을 마시고 난 후에 고소함이 입안에 즐거움을 준다. 양념갈비와 잘 어울린다.
"약주, 청주",면천두견주 900,18%,"국내산 찹쌀, 누룩, 진달래꽃",국가지정 중요 무형문화재 86-2호 면천두견주는 고려의 개국공신인 복지겸의 전설과 관련이 있는 술이다. 찹쌀과 두견화라 불리는 진달래꽃을 섞어 빚는 술로 가양주(家釀酒)이며 가향주(加香酒)라고 할 수 있다. 양조 횟수로 분류하면 이양주(二釀酒)이며 밑술 빚는 날로부터 발효와 숙성에 이어 저장에 이르기 까지 100일간이라는 장기공정을 거치는 발효주로 색은 담황색이고 단맛이 돌면서 점성이 있는데 일반 곡주와 달리 신맛과 누룩 냄새가 거의 없고 진달래꽃 향기가 일품이다.,면천두견주는 짙은 담황색을 띄고 있으며 진달래향과 함께 손에 닿으면 끈적할 정도로 단 맛이 일품이다. 알코올 도수가 18도로 발효 약주 가운데서는 비교적 높은 편이지만 알코올 향을 느낄 수 없을 정도로 부드럽게 목을 넘어간다. 신맛과 누룩향이 거의 없어 약주 특유의 맛을 기피했던 젊은 층이 좋아할 맛이다. 진달래 화전이나 은행구이 등 담백한 음식과 곁들이면 좋다.
"약주, 청주",면천두견주 700,18%,"국내산 찹쌀, 누룩, 진달래꽃",국가무형문화재 86-2호 면천두견주는 고려의 개국공신인 복지겸의 전설과 관련이 있는 술이다. 찹쌀과 두견화라 불리는 진달래꽃을 섞어 빚는 술로 가양주(家釀酒)이며 가향주(加香酒)라고 할 수 있다. 양조 횟수로 분류하면 이양주(二釀酒)이며 밑술 빚는 날로부터 발효와 숙성에 이어 저장에 이르기 까지 100일간이라는 장기공정을 거치는 발효주로 색은 담황색이고 단맛이 돌면서 점성이 있는데 일반 곡주와 달리 신맛과 누룩 냄새가 거의 없고 진달래꽃 향기가 일품이다.,면천두견주는 짙은 담황색을 띄고 있으며 진달래향과 함께 손에 닿으면 끈적할 정도로 단 맛이 일품이다. 알코올 도수가 18도로 발효 약주 가운데서는 비교적 높은 편이지만 알코올 향을 느낄 수 없을 정도로 부드럽게 목을 넘어간다. 신맛과 누룩향이 거의 없어 약주 특유의 맛을 기피했던 젊은 층이 좋아할 맛이다. 진달래 화전이나 은행구이 등 담백한 음식과 곁들이면 좋다.
"약주, 청주",면천두견주 360,18%,"국내산 찹쌀, 누룩, 진달래꽃",국가무형문화재 86-2호 면천두견주는 고려의 개국공신인 복지겸의 전설과 관련이 있는 술이다. 찹쌀과 두견화라 불리는 진달래꽃을 섞어 빚는 술로 가양주(家釀酒)이며 가향주(加香酒)라고 할 수 있다. 양조 횟수로 분류하면 이양주(二釀酒)이며 밑술 빚는 날로부터 발효와 숙성에 이어 저장에 이르기 까지 100일간이라는 장기공정을 거치는 발효주로 색은 담황색이고 단맛이 돌면서 점성이 있는데 일반 곡주와 달리 신맛과 누룩 냄새가 거의 없고 진달래꽃 향기가 일품이다.,면천두견주는 짙은 담황색을 띄고 있으며 진달래향과 함께 손에 닿으면 끈적할 정도로 단 맛이 일품이다. 알코올 도수가 18도로 발효 약주 가운데서는 비교적 높은 편이지만 알코올 향을 느낄 수 없을 정도로 부드럽게 목을 넘어간다. 신맛과 누룩향이 거의 없어 약주 특유의 맛을 기피했던 젊은 층이 좋아할 맛이다. 진달래 화전이나 은행구이 등 담백한 음식과 곁들이면 좋다.
