술의 종류,술 이름,이미지,도수,제조 지역,제조 재료,술 소개,같이 먹는 음식
"약주, 청주",솔송주,,13%,경상남도 함양군 개평마을,"백미(국내산) 90%, 솔잎·송순(국내산) 10%","하동 정씨집안에서 500년전부터 이어져온 전통약주로 청정지리산의 맑은 물을 바탕으로 우리 쌀과 솔잎, 송순을 발효시켜 빚어 강하거나 부담스럽지 않고, 은은한 솔향과 감칠맛이 특징이다.",돼지갈비구이 솔송주의 부드러운 맛과 함께 느낄 수 있는 솔향이 은은하게 풍기며 돼지갈비구이의 누린내를 없애주고 입안을 시원하게 해준다.
증류주,"진도홍주, 만홍",,40%,전라남도 진도,"국내산 쌀, 국내산 지초",고려시대부터 지초주라하여 임금님께 진상 되었던 고급술로 첨가물을 사용하지 않은 순곡증류주이다. 지초의 붉은색이 눈을 즐겁게 하고 목 넘김이 부드러우며 강하고 깨끗한 맛으로 시간이 지날수록 풍미가 좋아진다. 진도군수의 품질인증제품으로 소비자의 입맛에 맞도록 38%와 40% 등 다양한 도수생산은 물론 품질향상에 항상 노력을 기울이고 있다.,"두부스테이크, 문어회  두부를 큼직하게 썰어 노릇하게 구워서먹으면 고도주인 진도홍주를 마시기에 부담이 없다. 문어회는 기호에 따라 초고추장이나 참기름장을 곁들여내면 되는데 쫄깃하고 담백한 문어맛과 진도홍주의 부드러운 알싸함이 잘 어울린다."
증류주,이강주 5호,,25%,전북특별자치도 전주시,"쌀(국산), 정제수, 배(국산), 정맥(국산), 생강(국산), 울금, 계피, 꿀, 효모, 누룩, 조효소제","이강주(梨薑酒)는 조선시대 3대 명주 중 하나로서, 전통소주에 배(梨:배나무 이)와 생강(薑:생강 강)이 들어간다고 하여 이강주라 불리게 되었으며 예전에는 약의 의미인 이강고(梨薑膏)라 불렸습니다.","육회,부침개"
과실주,선운산 복분자주,,16%,전북특별자치도 고창군,"복분자(고창산), 과당, 구연산, 아스파탐, 무수아황산","비옥한 땅에서 서해바다의 해풍을 맞으며 소금기를 가득 머금은 고창의 복분자는 당도와 품질이 뛰어나기로 소문이 나있다. 이러한 전북 고창의 1등급 선운산 복분자만을 엄선하여 30일 이상 발효하고 1년 이상 숙성 시킨 선운산 복분자주는 기존의 알코올주정에 과실을 담아 희석하는 리큐르주와는 달리 복분자 특유의 색과 향, 맛이 그대로 살아 있다. 100% 복분자 원액을 그대로 발효시켜 풍미가 뛰어나다. 진하지 않은 맑은 느낌의 색이 자연스럽게 느껴지며, 신맛이","다재다능한 식중주라는 판단. 달콤함과 새콤함의 조합이 좋은 복분자주. 보양식을 생각한다면 장어구이가 잘 어울릴 것이며, 달콤한 맛이 있는 만큼 디저트주로도 좋다. 의외로 치즈와도 좋은 궁합을 보인다."
증류주,추성주,,25%,전라남도 담양군,"국내산 쌀, 국내산 한약재","추성주는 고려시대 담양 연동사에서 스님이 밥에 약초를 섞어 발효시킨데서 유래되었으며 조선 선조때는 ‘신선주’, ‘제세팔선주’로도 불리기도 했다. 쌀과 멥쌀을 기본적인 원료로 구기자, 오미자, 산약 등 10여 가지 한약재를 넣어 100일 이상 숙성시킨 증류주로서 약초들의 은은한 향취가 좋으며 탈취 및 항균작용이 있는 대나무 숯으로 여과하여 뒤끝이 깨끗하고 부드럽다.","갈치조림, 죽순회무침  갈치는 살이 희고 부드러우며 감칠맛이 있는데 중간크기로 새벽과 아침녘에 잡힌것이 더 맛있다고 한다. 죽순회무침은 데친갑오징어, 오이, 당근, 미나리, 풋고추와 함께 초고추장으로 버무린 담양군의 향토음식으로 한약재향이 그윽한 추성주와 잘 어울린다."
"약주, 청주",해남진양주,,16%,전라남도 해남,국내산 찹쌀(해남),진양주는 원래 조선시대 궁중에서 어주로 빚던 술로서 그 비법이 장흥임씨 집안에 전해지면서 대대로 해남전통민속주로 자리 잡게 되었다. 원료가 찹쌀인데다 보관도 어려워 서민들은 접하기 어려운 귀한 술이었다. 해남에서 생산한 친환경 무농약 찹쌀만을 사용하여 30일간 숙성을 통해 빚는 술로 찹쌀의 달콤하고 부드러운 맛과 은은한 향이 탁월하다.,"구절판 구절판은 색이 화려하면서도 갖가지재료를 사용한 음식으로 영양도 골고루 갖춘 우리나라 전통음식이며, 해남진양주의 달콤하고 부드러운 술맛을 한층 더 높여주는 음식이다."
"약주, 청주",보성 강하주,,15%,전라남도 보성,국내산 찹쌀100%,보성 강하주는 1800년대부터 전해내려 온 회천면 율포지역의 황갈색 맑은 빛깔의 기품 넘치는 술로 100% 국내산 찹쌀로 빚었으며 향과 맛이 진하며 마실 때 목을 톡 쏘는 듯하며 뒷맛이 개운하다.,더덕구이  더덕은 특유의 향긋한 맛도 좋지만 피를 맑게 하는 효능도 있다. 매콤하고 달콤한 양념을 발라구운 더덕구이에 톡 쏘는 듯 부드러운 강하주가 뒷맛을 개운하게 한다.
증류주,죽력고,,32%,전북특별자치도 정읍,"쌀, 죽력, 누룩, 정제수","대나무를 토막 내 불을 지펴 흘러내리는 대나무즙‘죽력’에

대잎, 석창포, 계심 등을 넣고 소주를 내려 증류시킨 술입니다.","해산물,전골"
리큐르/기타주류,오매락퍽,,40%,전라남도 나주,국내산 배증류원액,‘오매락’은 매실을 뜻하는 ‘오매’와 증류주를 의미하는 ‘아락’의 합성어다. 최고의 맛과 품질을 위해 꿀배로 유명한 전라남도 나주배 증류원액과 청매실로 빚어 황토로 구운 토기 안에 담아 만든 프리미엄전통주다. 내장된 나무망치로 토기를 깨뜨려 술을 꺼내는 참신하고 독특한 디자인이 특징이다. 토기를 깨는 것은 새로운 시작과 성장을 축하하는 의미를 담아냈다. 토기를 깨는 순간의 유쾌한 소리와 손맛은 특별한 날에 어울리는 색 다른 즐거움을 선사한다. 오매락퍽은 언더락스로 마시면 더욱 좋다.,"닭고기  오매락퍽속에 함유된 매실은 다양한 유기산을 함유해 닭고기와 같은 고단백, 고열량음식과 먹으면 배탈을 예방하고 소화에도 도움이 된다."
리큐르/기타주류,송화백일주,,38%,전라북도 완주,"송화, 솔잎, 산수유, 오미자, 구기자","솔향이 풍부하며 입안에 풍미가 뛰어나고, 여운이 은은하게 오래도록 유지된다. 송화, 솔잎, 산수유, 오미자, 구기자 등의 천연재료를 사용하여 장기 숙성 후 출시한다. 솔향이 안정적으로 잘 잡혀있으며 장미향수가 장미향보다 더 진한 것처럼 송화백일주의 향은 솔향보다 더 짙다.",취나물  취나물은 알칼리성식품으로 나트륨을 배출하는 작용을 하여 몸속에 나트륨을 조절해주는 역할도 한다. 입안에 은은하게 퍼지는 송화백일주 한잔에 나물안주의 소박함이 정겹다.
"약주, 청주",한산소곡주,,18%,충청남도 서천군 한산면,"찹쌀, 국내산 멥쌀","백제의 1500년 전통이 깃든 한산소곡주는 국내전통주 가운데 가장 오랜 역사를 자랑하는 술로 유구한 세월만큼이나 그 맛도 널리 정평이 나있다. 찹쌀과 누룩을 주원료로 들국화, 메주콩, 생강, 홍고추 등 웰빙원료의 오묘한 조화 속에 100일간 숙성을 통해 빚어지는 한산소곡주는 감미로운향과 특유의 감칠맛 때문에 ‘앉은 뱅이술’이란 이름으로도 널리 알려져 있다. 한산소곡주(18%)와 이 술을 증류시킨 불소곡주(43%), 신세대 감각에 맞춘 백제소곡주(13%)등 다양한 제품이 생산된다.","미나리전-미나리는 살짝데쳐무쳐먹거나,쌈으로많이먹는데,미나리전은쫄깃한맛에은은한미나리향을입안가득느낄수있으며,소곡주의부드러운맛이그대로전해져소곡주를편안하게즐길수있다."
"약주, 청주",면천두견주,,18%,충청남도 당진시 면천면,"국내산 찹쌀, 누룩, 국내산 진달래꽃","천년 명주의 맥을 이어온 오랜 역사와 전통성, 진달래꽃잎으로 빚은 지극한 효성이 탄생시킨 술로 전통 발효주 가운데서는 높은 알콜도수에도 불구하고 맛이 부드럽고 감칠맛이 좋으며 담황갈색의 점성이 있는 발효약주이다. 1000년 전 고려개국공신 복지겸이 면천에서 백약이 무효한 병을 앓자 그의 딸 영랑이 백일기도를 드린 후 진달래꽃과 샘물로 빚은 두견주를 담아 100일 후 아버지에게 마시게 하여 병을 고쳤다는 효성스런 전설이 전해지고 있다.","두부샐러드 고단백 저지방식품인 두부는 알콜 흡수속도를 늦추고, 위를 보호해주어 술안주로 좋은데 두견주의 은은한 두견화 향취를 제대로 느낄 수 있는 음식이다."
증류주,계룡백일주 40%,,40%,충청남도 공주시,"찹쌀, 백미, 누룩, 재래종국화꽃, 오미자, 진달래, 재래종 솔잎",16도의 백일주를 증류시켜 만든 계룡백일주 40도는 목젖이 칼칼한 맛과 진한 감칠맛이 뛰어나 더욱 깊은 맛을 즐길수 있습니다 그 맛에 취해 자꾸 마시다 보면 신선이 되다 하여 “신선주”라고도 불리웁니다.,"갈비구이, 생선회"
증류주,금산인삼백주,,43%,충청남도 금산군,"국내산쌀 95.8%, 국내산 인삼 4.2%",금산에서 자란 5년근 인삼으로 빚은 인삼백주로 은은한 인삼의 청향과 부드러운 맛과 풍미를 전통방법으로 계승한 고급전통주이다.,"문어회증류주는 술 자체만으로도 즐기기에 충분한 경우가 많은데, 문어회는 쫄깃한 씹는 맛도 있고, 향도 진하지 않아 금산인삼주의 술맛을 그대로 느낄 수 있는 음식이라서 좋다."
"약주, 청주",청명주,,13.80%,충청북도 충주시,"찹쌀, 정제수, 한영석 누룩",새콤하게 입맛을 돋우는 산미와 깔끔함이 돋보이는 약주입니다.,"갈비찜, 삼겹살."
"약주, 청주",신선주,,16%,충청북도 청주시,"쌀, 능금, 신선초, 천궁, 구기자, 당귀솔잎, 대추, 인삼","오래전부터 약주를 장기간 복용하게 되면 늙지도 않고 머리가 검어지며, 동안이 되어 결국에는 신선처럼 된다는 전설이 내려옵니다. &quot;신선주&quot;에는 능금, 신선초, 천궁, 구기자, 당귀솔잎, 대추, 인삼 등 몸에 좋은 다양한 약재가 들어가 있습니다. &quot;신선주&quot;는 건강 증진의 목적과 함께 전염병에 대한 예방과 치료, 성인병으로 상징되는 혈환관계 질환과 신경관계 질환에 대한 예방과 치료, 강장 강정효과, 머리와 피부를 늙지 않고 윤택하게 만들어 주는 약재들이 들어간 &quot;약주&quot;입니다.",아주 맑은 황금빛의 술이며 당귀 등과 곡물에서 나오는 약재향과 고소함이 잘 올라옵니다. 단맛과 신맛이 잘 갖춰져 있으며 처음 입 안에 들어오는 센맛이 독특합니다. 첫맛은 강하지만 시간이 지나면 가볍게 사라집니다. 알코올의 맛이 술을 마시고 난 후에도 오래 머무릅니다. 진한 불고기와 잘 어울립니다.
증류주,한산 소곡화주,,41%,충청남도 서천군 한산면,"찹쌀, 멥쌀, 누룩",한산소곡주를 소줏고리에 불을 지펴서 증류하여 만든 술로 소곡화주 또는 불소곡주라고도 불립니다. 한산소곡화주는 국내산 찹쌀과 누룩을 주원료로 빚은 한산소곡주를 한 방울 한 방울 정성을 다하여 증류시켜 만든 고도주(高度酒)입니다. 강한 첫 맛과 함께 깔끔한 뒷맛을 가지고 있으며 고급원주을 사용하기 때문에 그 맛과 향이 어느 술보다 뛰어납니다. 2016년 대한민국 우리술품평회 일반증류주 부문에서 장려상을 수상하였습니다.,높은 온도에서 증류한 곡향이 올라오고 알코올 도수에 비해서 술 맛이 매우 부드럽습니다. 술을 마시고 난 후에 혀에 남는 알코올이 긴 여운을 남깁니다. 시간이 지날수록 박하와 가은 화한 맛이 입 안에 남는 것이 특징입니다. 맑은 복지리 탕과 잘 어울립니다.
"약주, 청주",감자술 13%,,13%,평창군,"국내산 백미, 국내산 감자, 누룩, 효모, 정제수","""감자술""은 국내 유일의 감자를 주원료로 만든 약주이다. 강원도의 특산품 감자를 발효시켜 빚은 술로 감자와 곡물이 어우러져 은은한 향이 풍미를 더해 준다. 2018년에는 평창동계올림픽성공을 기념하기 위해 청와대 명절선물로 선정되기도 했다. 강원도 오대산에서 흘러내린 맑은 물 오대천과 고랭지에서 재배한 최상급 감자가 만나 강원도를 대표하는 ""감자술""이 빚어졌다.",살짝 갈아놓은 감자에서 느낄 수 있는 식감이 있다. 맑은 연두빛의 개성 있는 색깔에 담백한 단맛이 느껴진다. 너무 맵고 짠 음식은 자칫 감자술의 은은한 맛이 가려질 수 있기 때문에 자극적이지 않은 안주를 추천합니다. 기름진 감자전하고 즐기면 딱 좋은 맛이다.
"약주, 청주",화전일취 15,,15%,춘천시 서면 지시울,찹쌀(국내산) 멥쌀(국내산) 전통누룩(국내산 밀) 정제수,"춘천에서 나는 멥쌀로 범벅을 쑤어 전통 누룩을 넣고 밑술을 빚어 찹쌀 고두밥으로 덧술한 이양주인 화전일취15는 옹기에서 장기 숙성하여 병입하므로 특유의 풍부한 향과 부드러운 여운이 남는다. 낮은 산미와 은은한 감칠맛이 감도는 도수 15도의 약주로 일체의 첨가물 없이 물과 쌀, 누룩만으로 마치 꽃 앞에 있는 듯한 화사한 향기의 술을 빚어낸다.","한식 정찬, 구절판, 신선로, 너비아니 구이 등 한식과 잘 어울리고, 단맛을 받쳐주는 짭조름한 살라미나 크림치즈와도 잘 어울린다."
증류주,예술주조 `무작`,,53%,홍천군 예술,"정제수, 누룩, 쌀","무작53은 아무것도 더하거나 빼지 않은 술로서 강원도에서 생산한 쌀로 빚었습니다. 무작53은 주찬,김승지댁 주방문,등 여러 옛문헌에 실려있는 적선소주를 원류로 하였습니다. 무작53은 자연누룩으로 빚어 깊고 풍부한 맛과 5년의 옹기숙성으로 부드러운 목넘김을 자랑합니다.","따뜻한 국물류와 잘 어울린다. 소고기 전골, 맑은 대구탕 등을 추천한다."
"약주, 청주",동몽,,17%,홍천군 예술,"홍천 쌀, 정제수, 단호박, 국(밀 누룩)","동몽(同夢) 이라는 술은 말 그대로 같은 꿈, 즉 하나가 되는 것을 의미하는데 사람과 사람의 관계에서 소통을 이끌고 하나되어 연결하는 술의 특성을 살펴 만들어진 이름입니다. 동몽은 맑은술(청주)로써 홍천 찹쌀과 미니 단호박, 전통누룩을 원료로 하여 빚은 이양주(두번 빚은 술)이며, 찹쌀을 주 원료로 하여 감칠맛과 향이 뛰어나 묵직한 맛을 느낄 수 있는 술입니다.",두부전골
증류주,고소리술,,40%,제주도,"백미, 차조, 입국, 누룩, 효모(팽창제), 정제효소, 스테비올배당체(감미료), 정제수",,"육류구이  독특한 향과 깔끔한 뒷맛의 증류식곡주는 입안을 깔끔하게 정리해주는 맛이라고 할 수 있는데, 안주로 고기를 씹으면서 고소한 풍미와 육즙을 즐기다가 깔끔하게 고소리술로 마무리하면 좋다."
"약주, 청주",니모메,,11%,제주도,"백미, 누룩, 감귤 진피, 효모",니모메(NIMOME)는 제주 방언으로 너의 마음에라는 의미를 담고 있다. 니모메는 제주산 쌀과 귤피를 원료로 제조한다. 술의 발효과정에 제주감귤진피를 함께 넣어서 제주도 특유의 천연 향으로 상큼함이 더했다. 은은히 올라오는 감귤향에 뭉근히 올라오는 곡물 특유의 매력이 있다. 전체적으로 단맛이 도는 만큼 전통주 입문자에게도 충분히 도전할 만한 제품이다. 전체적으로 균형미가 좋으며 귤 향과 새콤함이 술의 특징을 만들어준다.,"칠리새우, 닭강정, 겨울의 방어회, 흑돼지 삼겹살 등 기름진 음식과 잘 어울린다."
과실주,마셔블랑,,12%,제주도,"감귤과즙, 백설탕, 액상효모, 무수아황산","마셔블랑은 제주산 한라봉을 착즙하여 만든 제주 특산 화이트와인이다. 향긋한 한라봉의 향과 달콤한 맛, 그리고 드라이한 끝 맛이 특징이다. 원료와 효모는 제조사에서 생산하는 혼디주와 동일하나 한라봉을 착즙하여 첨가하여 싱그러움을 더한 제품이다. 저온 장기 발효와 숙성공법으로 만들어져 달콤하고 부드러운 맛과 한라봉 특유의 청량한 느낌의 향이 풍부하다.","황금빛의 은은한 색깔이 매력적인 와인. 감귤의 향긋한 향이 그대로 살아있는 와인. 목 넘김에서 느껴지는 상쾌한 향이 입안을 기분 좋게 만든다. 후미는 길지 않은 편이나, 입안에서 맴도는 감귤의 여운으로 은근히 제주도의 푸른 바다가 떠오른다. 맛과 향을 방해하지 않는 가벼운 샐러드와 즐기면 이 술의 매력을 더욱 잘 느낄 것이다."
탁주(고도),패치배치 만다린,,8%,제주도,"멥쌀, 감귤, 감귤과피, 당유자과피, 귤꽃","패치배치 아일랜드는 밭 한 조각(패치)가 술 한 독(배치)가 된다는 의미를 담아 제주도의 비상품 농산물을 활용하여 술을 빚는 양조장이다. ‘패치배치 만다린’은 감귤 즙과 감귤껍질, 제주도 토종 유자인 당유자 껍질이 들어가는 탁주이다. 인공 감미료를 넣지 않고 이양주 기법으로 빚은 연 노란빛의 막걸리다.","?감귤의 산미가 입맛을 돋우어 식전주로 좋으며, 은근하게 뒤따라오는 귤꽃 향이 매력적이다. 시트러스 향이 술 맛을 가볍고 산뜻하게 해주어 맵고 기름진 음식과 잘 어울린다. 달지 않아 제주 광어 회 등 깔끔한 생선 요리와도 궁합이 좋다."
증류주,세우리,,45%,제주도,"산양삼, 하수오, 구기자, 쌀","세우리는 제주도 한라산에서 자란 산양산삼과 하수오, 그리고 구기자를 넣어 만든 알콜도수가 45%인 증류주이다. 구기자의 붉은 색, 하수오의 담백한 맛, 산양산삼의 향과 제주 천연 지하 암반수가 만나 황금 빛깔이 나는 술로 고도주임에도 목 넘김이 부드러우며 재료에서 우려져 나오는 고유한 맛이 일품이다.","유리병 안에 들어있는 산양산삼이 인상적이고 진한 호박색의 술로 인삼과 함께 여러 가지 약재의 향이 가득한 것이 특징이다. 도수가 높아 집에 두고 한 잔씩 약으로 마시기 좋은 술이며, 입 안의 풍미가 약재의 향으로 가득하고 목 넘김이 뜨겁다. 삼계탕 등 몸 보양을 위해 먹는 음식과 다 잘 어울린다."
증류주,신례명주,,50%,제주도,"제주산감귤, 감귤 증류주","혼디주와 동일한 원료, 효모를 사용해 제조한 발효원액을 맑은 상등액만 분리하여 낮은 온도에서 증류시킨 증류주이며 첨가물을 넣지 않고 빚었다. 감귤 고유의 향을 보존하여 참나무통에서 1년 이상 숙성시켜 브랜디 특유의 부드러움을 느낄 수 있다.","생선회, 구이 등 해산물류와 수육, 보쌈 등 육류와 잘 어울린다."
"약주, 청주",오메기 맑은술,,16%,제주도,"좁쌀, 햅쌀, 정제수, 누룩",오메기 맑은술은 맛이 진하고 부드러우며 달콤한 맛과 천연의 과실향이 나는 최고급 약주이다. 제조사 제주술익는집은 4대째 이어온 전통방식으로 일체의 첨가물 없이 정성스런 손맛으로 술을 빚고 있다.,"고추 잡채, 갈비찜, 성게알 요리, 방어회, 참치회 등 해산물류와 좋다."
"약주, 청주",오메기술,,13% ?	15%,제주도,"쌀, 차조, 입국, 누룩, 효모, 효소, 청호, 조릿대, 감초, 정제수","오메기떡을 사용하여 누룩과 함께 발효시킨 오메기술은 제주 선인들이 장구한 세월 동안 발전 시켜온 독특한 제주 전통 약주로써, 다양한 연령층이 마시기 좋은 술이다. 또한, 묵직한 찻잎의 향기와 시트러스한 향미가 동시에 느껴진다. 조화로운 감미와 산미, 목 뒤로 느껴지는 감칠맛이 좋다. 농축미가 느껴지는 약주이다.","방어 등 붉은 생선 회, 해산물 등의 음식과 함께하면 좋다."
과실주,혼디주,,12%,제주도,"제주산감귤, 백설탕, 구연산, 무수아황산",감귤의 단맛과 신맛이 조화를 이루어 감칠맛이 뛰어난 혼디주는 감귤연구소에서 개발한 특허 효모를 사용해 발효시켰다. 누룩을 사용하지 않아서 특유의 누룩취가 없으며 달콤하고 산뜻한 과실향을 느낄 수 있다. 혼디주 한 병에는 감귤 세 개의 과즙이 함유되어 있으며 열을 가한 농축액이 아닌 신선한 주스를 사용한다.,"생선회, 구이 등 해산물류와 수육, 보쌈 등 육류와 잘 어울린다."
